CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
A	0.126765490400798	0.130611928320143	0.125189903995978	0.0931296726563674	0.146216681496799	0.141696565949168	0.11945711748463	0.0609129039203686	0.0560197357757477
B	0.12617388565731	0.131115925584373	0.125561110544057	0.0931994572076184	0.146156192532446	0.141817269913794	0.119295457244204	0.0610039935757383	0.0556767077404588
C	0.113390395938381	0.120332591275104	0.130061801408052	0.0961117587400922	0.154996641360888	0.146109896960195	0.118882621147035	0.0623976860832733	0.0577166070869798
D	0.113480946099844	0.120617087829685	0.129825557847322	0.0960977483498428	0.154970614601155	0.145901660187408	0.118784359650036	0.0623859043501579	0.0579361210845482
E	0.117870162869858	0.122281850198797	0.128067635560993	0.0947803308430612	0.152023449116966	0.143162305694153	0.120832574343375	0.0626534872588583	0.0583282041139388
F	0.124251341491785	0.125891003768689	0.126286611925057	0.094324949935828	0.142712017028844	0.141593823980589	0.127121631746118	0.0621914005324738	0.0556272195906161
G	0.132718154201441	0.132272290956377	0.123446071522969	0.0929338233444008	0.14237275726229	0.141569592302235	0.119135925183159	0.0604687786388865	0.0550826065882416
H	0.135742023027645	0.131129644425969	0.123898142544657	0.0927826060799793	0.13991536837756	0.141468494289313	0.11916217882801	0.0603964829054527	0.0555050595214132
I	0.136541573108553	0.131045821923435	0.123898130370802	0.0930556184367383	0.139368912993503	0.141019579443067	0.119295740344101	0.0603302863955945	0.0554443369842065
J	0.107860974487741	0.119342879981915	0.131255195269951	0.0972070579674206	0.157084100312074	0.148169633350145	0.118595012391331	0.0626120952612282	0.0578730509781939
K	0.107385419906887	0.119816004014938	0.130661669516823	0.0962547907280387	0.155494268231818	0.144981564568892	0.121978747148834	0.0639398033188276	0.0594877325649433
L	0.113803711361137	0.116970464319408	0.130965074809416	0.0975986472000829	0.152293099797043	0.148850221622928	0.119304793459585	0.0628739771362248	0.0573400102941757
