naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
Mix_1	0	0	0.00202891734093846	0.00290904570338244	0.000933922305319281	0	0.000518688894348791	0.000283973060850108	0
Mix_2	0.000732039330186833	0.000354490562515199	0	0	0.000201071072656635	0	0	0.000159976836776699	0
Mix_3	0	0	0	0	0.000506680543965193	0	0	0.000287341998904689	0.000642431307003853
Mix_4	0	0	0	0	0.000348135452196553	0	0	0.000382935717521416	0.000589584903957261
Mix_5	0.00247646706728448	0.00189269360854969	0	0	0.00050118522048493	0	0	0	0
Mix_6	0.000128161250223381	2.01073720270476e-05	0.00377142358916368	0.00457039126938986	0.000787289441452981	0	0.00128154453927434	0	0
Mix_7	0	0	0	0	0	0	0	0.000236297717566747	0.000504475955736677
Mix_8	7.93603083432436e-05	0	0	0	0	0	0	7.04614092426187e-05	0
Mix_9	0.000303744326935554	0	0	0	0.00023655587496092	0	0	0.00011020614684412	0
Mix_10	0.00103113537883616	0.000632925579829959	0	0	0.0002573551870549	0	0	0	0
Mix_11	0	0	0	0	0	0	0	0.000389045699808721	0.000186203454401119
Mix_12	0	0	0	0	0.000688881144382971	0	0	0.000528739168619966	0.000615922788148087
Mix_13	0.00121237314189358	0.000704609163531394	0	0	0	0	0	0	0
Mix_14	0	0	-0.000424686898287734	0	0.000162795884032974	0	0	0.000400027039115511	0.000955056986232714
Mix_15	0	0	0	0	0	0	0	0.00043075412645999	0.000620831059220869
Mix_16	0	0	0	0	0	0	0	6.88952930670515e-05	0
Mix_17	0	0	0	0	0	0	0	0.000235381778824567	0.000407258158692372
Mix_18	0	0	0	0	0	0	0	0.000528621407361342	0.0006148481081324
Mix_19	0	0	0	0	0.000644902021448982	0	0	0.00012126256562465	6.29026324583046e-05
Mix_20	0.000481882062490641	0.000100076824620085	0	0	0	0	0	0	0
Mix_21	0.000157124143871615	0	0	0	0	0	0	0	0
Mix_22	0	0	0.000786260898030845	0.00113589281363025	0.000499966795822276	0	0	9.54583972165701e-05	0
Mix_23	0.00156359474675581	0.000996792684049316	0	0	0	0	0	0	0
Mix_24	0	0	0	0	0	0	0	0.000476492044920628	0.000921225259190305
Mix_25	0.000979935366983247	0.000443256418463247	-0.00017003390210106	0	0	0	0	0	0
Mix_26	0	0	0	0	0	0	0	0.00015117024590049	0.000266864469986104
Mix_27	0.000258178901818413	0	0	0	0	0	0	0	0
Mix_28	0	0	0	0	0.00022930664802871	0	0	0.000140217104457864	0
Mix_29	0.000179211037938142	0	0	0	0	0	0	6.51885807600302e-05	6.47710298934416e-05
Mix_30	0	0	-5.33782455677247e-05	0	0.000350702258209616	0	0	0.000135112551956499	0.000422779330260543
Mix_31	0.000168055303707791	0	0	0	0	0	0	6.3089562610669e-05	0
Mix_32	0	0	0	0	0	0	0	0.000481108712437515	0.000597606269804574
Mix_33	0	0	0	0	0	0	0	0.000393241476945779	0.000621984111824318
Mix_34	0.000396847930332788	0.000157141027206515	0.00132677375068964	0.00228789050215457	0.000619594042496786	0	9.77411148620216e-05	0	0
Mix_35	0	0	0	0	0.000379432305699667	0	0	0.000356496566753389	0.000284543683127485
Mix_36	0.000100231599672567	0	0	0	9.01738211657361e-07	0	0	8.22370698001828e-05	0
Mix_37	0	0	0	0	0.000614386529574128	0	0	0.000216818656546232	0.000387390875849175
Mix_38	0	0	0	0	0.000351796370039177	0	0	0.000475175466749472	0.000490998980563554
Mix_39	0.00102746197616497	0.000586979519848891	0	0	0	0	0	0	0
Mix_40	0.000145173476083176	0	0	0	0.000581723646579446	0	0	3.8171173072755e-05	3.74393506739834e-05
Mix_41	0	0	0	0	0.00109219183643714	4.7529485444442e-05	0	0.000289945424059654	7.31074719441299e-05
Mix_42	0	0	0	0	0	0	0	8.64747849256946e-05	0.000178161250445128
Mix_43	0.000822008872905952	0.000453319700567686	0	0	0.000413909566910587	0	0	0	0
Mix_44	0	0	0	0	0.000969851179936998	4.82944326576117e-05	0	0.000523299059425845	0.000341748979569801
Mix_45	0	0	0	0	0	0	0	9.59618073520707e-05	0.000327236901356432
Mix_46	0	0	0	0	0	0	0	0	5.71221856059571e-06
Mix_47	0	0	0	0	0.000488587497153523	0	0	0	0
Mix_48	0.000169461131884396	0	0	0	0	0	0	0.000159498367604632	0
Mix_49	0	0	0	0	0.000697921057808989	0.000300407809942062	0	0.000493756767079458	0.000717376861201324
Mix_50	0	0	0	0	0	0	0	0.000166420459517991	0.000488155905576204
Mix_51	0	0	0	0	0	0	0	0.000140999072722555	0
Mix_52	0	0	0	0	2.42990282152272e-05	0	0	0.000328068894870805	0.000858949193127758
Mix_53	0	0	0	0	0	0	0	2.78961416665956e-05	0
Mix_54	0	0	0.00185790388877221	0.00402120112964681	0.00212742313171946	0.00066723215920536	0.00159247464554606	0.000315646602805749	0
Mix_55	0	0	0	0	0.000849620092736616	0.000154833103280081	0	0.000371415687673071	0.000686807928634243
Mix_56	0	0	0	0	0	0	0	0.000117123814595834	0.000353418402969175
Mix_57	0	0	0	0	0.00172390818983617	0.00145509484674811	0	0.000991862519385047	0.00118971445793069
Mix_58	0	0	0	0	0	0	0	0.000407188788632534	0.000656756716298066
Mix_59	0	0	0	0	0.0013467569811382	0.000537629114256727	0	0.000334221014814294	0.000476634226197119
Mix_60	0.000858797842502973	0.000279101618037863	-0.00147747399727472	0	0	0	-0.000726977062285608	0	0
Mix_61	0.00144770406968817	0.00100475964891232	0	0	0.000458010219412836	0	0	0	0
