B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
S10001	0	0	0.1894	0	0	0.4337	0.3267	0	0	0.0502
S10006	0	0	0.1549	0.0824	0	0.4921	0.1882	0	0	0.0824
S1001	0	0	0.2703	0.1048	0.0305	0.3296	0.083	0	0	0.1818
S10010	0	0	0.2726	0	0	0.5327	0.1024	0	0	0.0922
S10011	0	0	0.1967	0	0	0.378	0.2783	0	0	0.147
S10014	0	0	0.1797	0.0559	0.036	0.4498	0.1546	0	0	0.124
S10026	0	0	0.2366	0.0309	0	0.4834	0.147	0	0	0.1022
S10032	0	0	0.4146	0.0432	0	0.3436	0.1626	0	0	0.0361
S10036	0	0	0.2103	0.0568	0	0.4795	0.1364	0	0.0145	0.1025
S10042	0	0	0.2268	0.0872	0	0.4319	0.1141	0	0	0.14
S10044	0	0	0.1638	0.0197	0	0.5275	0.1847	0	0	0.1043
S10049	0	0	0.1477	0.023	0	0.4748	0.168	0	0	0.1865
S10057	0	0	0.1669	0.1251	0.0277	0.2815	0.174	0	0.0564	0.1684
S10062	0	0	0.2836	0	0	0.423	0.1878	0	0	0.1056
S10066	0	0	0.2379	0	0	0.5448	0.2037	0	0	0.0136
S10067	0	0	0.1574	0.0625	0.0292	0.3577	0.1967	0.0233	0	0.1732
S1007	0	0	0.2154	0.0709	0	0.4021	0.1644	0	0	0.1472
S10073	0	0	0.1201	0.018	0	0.3799	0.2131	0.0281	0	0.2409
S10077	0	0	0.2114	0.04	0	0.4166	0.2466	0	0	0.0855
S10080	0	0	0.2425	0.0812	0	0.4168	0.1206	0	0	0.1388
S10082	0	0	0.2042	0	0	0.4034	0.2128	0.0303	0	0.1493
S10087	0	0	0.2509	0	0	0.376	0.1808	0.0399	0	0.1523
S10089	0	0	0.1834	0.0049	0	0.4943	0.1917	0	0	0.1257
S1009	0	0	0.1448	0.0028	0.0062	0.2696	0.3002	0.066	0	0.2104
S10090	0	0	0.136	0.0019	0	0.5006	0.1954	0	0	0.1662
