naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
mix_1	0.1323	0	0.174	0.4704	0.1127	0.0174	0	0.0932
mix_2	0.1494	0	0.2187	0.3102	0.1301	0.0084	0	0.1832
mix_3	0.0946	0.0565	0.2248	0.1918	0.1566	0.0598	0	0.2158
mix_4	0.0939	0.0063	0.4894	0.3444	0.0058	0	0	0.0602
mix_5	0.0714	0.0442	0.3516	0.3098	0.0713	0.0106	0	0.141
mix_6	0.1108	0	0.4225	0.3727	0.025	0	0	0.069
mix_7	0.08	0.0377	0.2859	0.266	0.1109	0.0332	0	0.1863
mix_8	0.1233	0	0.2535	0.3149	0.1197	0.0093	0	0.1793
mix_9	0.098	0	0.4475	0.431	0	0	0	0.0236
mix_10	0.0989	0.0443	0.4857	0.1391	0.0874	0.0311	0	0.1135
mix_11	0.1546	0	0.2147	0.4434	0.0971	0.0104	0	0.0799
mix_12	0.0822	0	0.4607	0.275	0.0668	6e-04	0	0.1146
mix_13	0.1077	0	0.5928	0.1942	0.0428	0	0	0.0625
mix_14	0.1207	0	0.5143	0.2871	0.0516	0	0	0.0264
mix_15	0.118	0.0012	0.3294	0.319	0.0783	0.0171	0	0.137
mix_16	0.0893	0.0874	0.2596	0.1434	0.1422	0.0652	0	0.2129
mix_17	0.1332	0.0115	0.3849	0.0607	0.1309	0.0501	0	0.2287
mix_18	0.1231	0	0.563	0.0725	0.0964	0.0226	0	0.1224
mix_19	0.1325	0	0.2701	0.1768	0.135	0.0644	0	0.2214
mix_20	0.1436	0	0.4243	0.3126	0.0478	0	0	0.0718
mix_21	0.0932	0.0272	0.4862	0.114	0.073	0.0392	0	0.1672
mix_22	0.0936	0	0.3698	0.3673	0.0744	0.0078	0	0.0871
mix_23	0.1496	0	0.4212	0.3256	0.0586	0	0	0.0451
mix_24	0.097	0.0061	0.4353	0.2584	0.0634	0.0156	0	0.1241
