ID,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8
S10001,6.31401290323,6.11577692308,7.04638461538,6.634945,6.724375,8.48349285714,6.60143181818,7.34961538462,4.8224,6.31363333333
S10006,6.50520645161,6.17764615385,7.18518461538,6.91534,6.900285,8.33058571429,6.38561363636,7.12589230769,5.01539230769,6.32673333333
S1001,6.26079354839,6.19537692308,7.45334615385,7.110215,7.07184,8.25097857143,6.39420909091,7.09788461538,4.90478461538,6.55388333333
S10010,6.01736129032,5.962,7.68032307692,7.059035,7.03415,8.83879285714,6.33499090909,7.13447692308,4.78957692308,6.55791666667
S10011,6.26296451613,6.19912307692,7.49343076923,6.875125,6.853,8.40763571429,6.55064090909,7.21399230769,4.85016153846,6.58476666667
S10014,6.26427419355,6.06714615385,7.08870769231,6.882965,7.14576,8.23100238095,6.32277727273,7.13232307692,4.97777692308,6.4173
S10026,6.3701483871,6.33325384615,7.44283076923,7.01258,6.915325,8.52883333333,6.37923636364,7.30451538462,4.85565384615,6.40421666667
S10032,6.58476129032,6.44696923077,7.76928461538,6.94594,7.00112,8.4490547619,6.35965454545,7.16746153846,4.90186153846,6.35508333333
S10036,6.05726451613,6.0661,7.31503846154,6.86035,6.618655,8.28594761905,6.31674090909,6.98521538462,4.77935384615,6.2858
S10042,6.45161612903,6.35303076923,7.54799230769,7.387505,7.134825,8.57194761905,6.45347272727,7.35633076923,4.99155384615,6.62408333333
S10044,6.46446774194,6.37195384615,7.4244,7.061045,7.027435,8.70318333333,6.52513181818,7.46818461538,5.05954615385,6.61046666667
S10049,6.57409677419,6.34319230769,7.28730769231,6.761065,6.942225,8.48956666667,6.46656363636,7.57390769231,4.9093,6.75325
S10057,6.05856129032,6.19392307692,6.97004615385,6.991205,7.05785,7.7232452381,6.34985909091,7.13082307692,5.08875384615,6.2856
S10062,6.37595483871,6.30008461538,7.54251538462,6.74127,6.89862,8.60107142857,6.52103181818,7.45596153846,5.00607692308,6.76173333333
S10066,6.08636451613,6.06778461538,7.7694,6.916985,6.7244,8.8882452381,6.53257272727,7.30916153846,4.92703076923,6.3665
S10067,6.36907096774,6.22511538462,7.16862307692,7.12966,7.20345,8.19078809524,6.49942727273,7.56910769231,4.82416923077,6.75041666667
S1007,6.55053548387,6.09291538462,7.23503076923,6.751605,6.959095,8.22852380952,6.41296818182,7.10211538462,4.91785384615,6.382
S10073,6.45270322581,6.16648461538,7.28691538462,7.029385,7.342915,8.54196666667,6.69641363636,7.72449230769,5.04521538462,7.06178333333
S10077,6.42522903226,6.13596153846,7.25544615385,6.75454,7.032765,8.2613952381,6.49424090909,7.24550769231,4.84334615385,6.51241666667
S10080,6.47957741935,6.32617692308,7.64278461538,7.129695,7.424265,8.55736428571,6.45875909091,7.20359230769,4.94566153846,6.68716666667
S10082,6.47893548387,6.32694615385,7.48867692308,6.82702,6.80324,8.43172142857,6.59804090909,7.58050769231,5.0133,6.73038333333
S10087,6.65875806452,6.42321538462,7.3736,6.71771,7.00072,8.42745952381,6.50354090909,7.6172,5.04026153846,6.60986666667
S10089,6.1940516129,6.13209230769,7.03208461538,6.79392,6.77292,8.38445952381,6.45776818182,7.23283846154,4.90513076923,6.36683333333
S1009,6.82814516129,6.34223846154,7.25342307692,6.93193,7.1909,8.13031904762,6.7689,7.60576153846,5.09546923077,6.94501666667
S10090,6.12207741935,6.08596153846,7.03537692308,6.656615,6.87995,8.35802857143,6.42714545455,7.39222307692,5.08541538462,6.51238333333
S10093,6.0546516129,6.06157692308,7.3614,7.113155,6.90258,8.18198809524,6.26285,6.83079230769,4.95316153846,6.23855
S10094,6.27412903226,6.16524615385,7.51864615385,7.03685,7.07433,8.57373095238,6.47297272727,7.24942307692,4.91993076923,6.41408333333
S1010,6.37282903226,6.49271538462,7.38587692308,7.03339,7.117155,8.41845714286,6.66199090909,7.55713846154,5.04076923077,7.02236666667
S10111,6.33776129032,6.34449230769,7.36323846154,7.069075,7.245785,8.38908333333,6.57902727273,7.66056923077,5.05577692308,6.5863
S10116,6.21178387097,6.21447692308,7.02136153846,7.016205,7.45803,7.79272857143,6.71054545455,7.49611538462,4.96693076923,7.02626666667
S10119,6.46687741935,6.24453846154,7.21065384615,6.855685,6.89578,8.15060238095,6.51858636364,7.33344615385,4.85994615385,6.80861666667
S10121,6.30062903226,6.18189230769,7.18169230769,6.985075,7.02862,8.3345047619,6.43246363636,7.17592307692,4.7525,6.80255
S10130,6.24083548387,6.10933076923,7.35713846154,6.966225,6.89549,8.48302380952,6.42094545455,7.12962307692,4.80426153846,6.41306666667
S10140,6.6841,6.41181538462,7.51077692308,7.10186,6.921945,8.81892142857,6.23284090909,7.16766923077,4.89917692308,6.39665
S10142,6.48955806452,6.44441538462,7.22683076923,7.14839,7.39017,7.96995952381,6.36502727273,7.38310769231,4.9934,6.48726666667
S10150,6.28251935484,6.35288461538,7.6303,7.16105,7.105005,8.82470952381,6.18351363636,6.74365384615,4.88436923077,6.02785
S10155,6.47039354839,6.3471,7.3764,6.907535,7.01929,8.44349047619,6.61288181818,7.58499230769,4.98836923077,6.59715
S1016,6.08754193548,6.18459230769,7.34716923077,6.80027,7.011245,8.23345952381,6.29846363636,7.08723076923,4.90721538462,6.26601666667
S10163,6.41808709677,6.18346153846,7.4017,7.189455,7.287645,8.59496904762,6.62654090909,7.32419230769,4.92459230769,6.70033333333
S10167,6.27404516129,6.15424615385,7.18799230769,7.126345,7.45871,8.26319761905,6.37023636364,7.09802307692,5.08804615385,6.69856666667
S10168,6.47246451613,6.26371538462,7.10486923077,7.208105,7.453665,8.13274285714,6.51824545455,7.38313846154,4.99236923077,6.74366666667
S10173,6.81267741935,6.54949230769,7.29736153846,6.92592,7.010555,8.23123333333,6.56885909091,7.46465384615,4.9886,6.71535
S10175,6.34854193548,6.20792307692,7.30176153846,6.84228,7.01765,8.41229047619,6.33344090909,7.17516923077,4.96686153846,6.33696666667
S10179,6.30858709677,6.43210769231,7.39501538462,7.20759,7.59783,8.26117619048,6.59023181818,7.69676153846,5.01224615385,7.02945
S10186,6.6075483871,6.52080769231,7.22246153846,6.929245,7.007035,7.57469047619,6.55192272727,7.49247692308,4.96931538462,6.82378333333
S1019,6.36838709677,6.24522307692,7.21503076923,6.921655,7.083905,8.04718095238,6.49212727273,7.37726923077,4.8951,6.54925
S10190,6.70028064516,6.50913076923,7.34386153846,6.75253,6.999475,8.4612952381,6.61801363636,7.68931538462,5.03848461538,6.81893333333
S10195,6.31326774194,6.2294,7.39016923077,6.787185,6.86076,8.64838333333,6.37214545455,7.16852307692,4.98687692308,6.32686666667
S10196,6.21841612903,6.22366923077,7.44938461538,6.990765,7.21114,8.57416666667,6.58680909091,7.46342307692,5.02283846154,6.42158333333
S10200,5.96976129032,6.18563846154,7.48640769231,7.060405,7.224365,8.43408571429,6.24470454545,7.11754615385,4.81996153846,6.34823333333
S10201,6.35467419355,6.11787692308,7.33816153846,6.80438,6.835455,8.90016428571,6.12901818182,6.69606153846,4.66983076923,6.09553333333
S10202,6.33190967742,6.09036923077,7.50843076923,7.252995,7.52166,8.39384285714,6.43985909091,7.17343076923,4.89657692308,6.49741666667
S10205,6.72747096774,6.4157,7.35176153846,7.008955,7.37707,8.67504761905,6.48078181818,7.58993846154,4.89703846154,6.38848333333
S10211,6.13309354839,6.22203846154,7.03423076923,6.920605,6.796575,8.09243571429,6.22409545455,6.9491,5.11096923077,6.7188
S10221,6.49276451613,6.28091538462,7.43406153846,7.170985,7.014195,8.55287619048,6.54842272727,7.47522307692,4.95162307692,6.72491666667
S10222,6.23590645161,6.2865,7.08248461538,6.61009,6.582515,8.39944285714,6.32547727273,7.09832307692,4.89286153846,6.41516666667
S10226,6.50927741935,6.40520769231,7.33383076923,6.674175,6.91945,8.60532619048,6.44921363636,7.41149230769,4.97656153846,6.67723333333
S10227,6.18416451613,6.17737692308,7.50684615385,6.77856,6.878535,8.54623333333,6.36334090909,7.18609230769,4.85500769231,6.24213333333
S10228,6.32033870968,6.23621538462,7.25230769231,6.831805,7.102995,8.38449285714,6.53160454545,7.31248461538,4.95922307692,6.65185
S10232,6.46947096774,6.32940769231,6.85108461538,6.961245,7.01943,7.67441904762,6.53228181818,7.38414615385,5.07103846154,6.41625
S10248,6.40240967742,6.27626923077,7.22688461538,6.747015,6.79326,8.41267857143,6.41847727273,7.42978461538,4.97865384615,6.5406
S10249,6.24401612903,6.35167692308,7.74278461538,6.946495,7.03352,8.74476190476,6.28511818182,6.87248461538,4.99540769231,6.3253
S1025,6.45725806452,6.45237692308,7.30823076923,7.05904,7.363555,8.22817380952,6.48671363636,7.54868461538,4.91010769231,6.5995
S10266,6.19715806452,6.21469230769,7.25236153846,6.698335,6.94064,8.66370952381,6.51617727273,7.25578461538,4.93230769231,6.5254
S10269,6.39700645161,6.47833846154,7.18911538462,6.79057,7.030965,8.44869761905,6.30387272727,7.17176153846,4.96083846154,6.39685
S10272,6.11343870968,6.20353846154,7.17774615385,6.836885,6.62296,8.48862619048,6.21882272727,7.00152307692,4.86364615385,6.28673333333
S10273,6.63806129032,6.25356923077,7.3467,6.848485,7.200425,8.5488452381,6.34528636364,7.2876,4.81740769231,6.25661666667
S10274,6.30458709677,6.2949,7.36635384615,6.911365,6.898215,8.51744761905,6.44663181818,7.26834615385,4.78393076923,6.28988333333
S1028,6.65096129032,6.27554615385,7.55476923077,6.81661,6.84889,8.5195,6.35059090909,7.2094,4.91757692308,6.24023333333
S10280,6.58658064516,6.48173076923,7.43959230769,7.07416,7.4363,8.62517857143,6.67613636364,7.7066,5.10043846154,7.10763333333
S10283,6.46523870968,6.19396923077,7.51717692308,6.941405,7.39433,8.10513095238,6.58470454545,7.60623076923,4.94252307692,7.02058333333
S1029,6.3949,6.40397692308,7.27424615385,7.093675,7.105315,8.275,6.46142272727,7.34314615385,4.84042307692,6.42026666667
S10292,6.35426774194,6.1629,6.95046153846,6.70013,6.865795,8.00971190476,6.56903636364,7.42759230769,4.91368461538,6.63005
S10294,6.37900645161,6.37367692308,7.22530769231,7.062655,7.191755,8.08888809524,6.35455909091,7.30209230769,4.91409230769,6.81856666667
S10302,6.28028064516,6.15688461538,7.29254615385,7.241895,6.94897,8.33930714286,6.41635454545,7.35193076923,5.06129230769,6.47026666667
S10303,6.53751612903,6.31343846154,7.32176923077,7.11903,7.31246,8.27502142857,6.40051818182,7.19630769231,4.93369230769,6.3012
S10323,6.42369677419,6.20732307692,7.3562,6.864055,6.99027,8.37785952381,6.47858181818,7.29890769231,4.92638461538,6.65735
S10326,6.29940967742,6.26496923077,7.41522307692,6.9412,7.133815,8.51141428571,6.32590909091,7.22310769231,4.88787692308,6.5392
S10328,6.26175483871,6.1221,7.08469230769,7.155685,7.688535,8.38167857143,6.60325454545,7.45389230769,4.95846923077,7.10951666667
S10329,6.73149354839,6.35773076923,7.24492307692,7.019765,7.210095,8.35405,6.47030454545,7.45503846154,5.02544615385,6.74385
S10336,6.40700967742,6.21195384615,7.18546923077,7.07899,7.330125,8.35140952381,6.34472272727,7.03001538462,4.85791538462,6.20526666667
S10340,6.57858064516,6.22525384615,7.2445,6.6924,6.873445,8.5244,6.51005909091,7.46600769231,5.09316153846,6.60411666667
S10347,6.06906774194,6.05876153846,7.029,6.834405,7.013185,8.07788333333,6.52755909091,7.06176923077,4.95289230769,6.44711666667
S10353,6.5835516129,6.44738461538,7.24729230769,6.90186,6.9662,8.42146190476,6.43730909091,7.40120769231,4.81653076923,6.44788333333
S10356,6.48212258065,6.14946153846,7.2414,6.7854,6.8946,8.20637380952,6.54086818182,7.40630769231,4.99667692308,6.37661666667
S10358,6.11034193548,6.22472307692,7.41958461538,6.937935,6.955005,8.6036547619,6.37905,7.37516153846,4.8704,6.53835
S10365,6.30299677419,6.08901538462,7.46983846154,6.895385,6.8022,8.51272619048,6.33235454545,7.19423846154,4.89925384615,6.31338333333
S1037,6.55501612903,6.30185384615,7.05924615385,6.98395,7.299885,7.92390238095,6.72694090909,7.72646923077,5.12447692308,7.01288333333
S10373,6.71518064516,6.23831538462,7.32253846154,7.150805,7.077135,8.27265238095,6.57336818182,7.48702307692,4.95447692308,6.59886666667
S10374,6.27787096774,6.113,7.02314615385,6.58716,6.52461,8.03699761905,6.24581363636,7.12856923077,5.07397692308,6.23113333333
S10375,6.38246451613,6.20548461538,7.50942307692,7.185655,7.479,8.62845714286,6.44985,7.24691538462,5.08247692308,6.47868333333
S10377,6.39848064516,6.21544615385,7.23854615385,6.88589,6.809725,7.95132619048,6.40245909091,6.98160769231,5.00972307692,6.4481
S10378,6.62565483871,6.42845384615,7.31083846154,7.143425,7.28764,8.61112142857,6.52970909091,7.48933846154,5.02232307692,6.97446666667
S10390,6.2635516129,6.07373076923,6.92836923077,6.700475,6.553775,7.96465238095,6.41454090909,6.84867692308,5.06073846154,6.41326666667
S10391,6.35636774194,6.16752307692,7.09097692308,6.84848,6.66495,7.93342380952,6.10676818182,7.00273076923,5.04946923077,6.19375
S10393,6.51092580645,6.44544615385,7.37633846154,7.06245,7.164985,8.37991428571,6.24678181818,7.37214615385,4.98906153846,6.67093333333
S10400,6.21601935484,6.11764615385,7.55127692308,6.97575,6.87893,8.40907619048,6.48515454545,7.15618461538,4.93877692308,6.39241666667
S10401,6.36878387097,6.23754615385,7.29993076923,6.997995,7.224945,8.27175238095,6.37294090909,7.25866923077,4.7681,6.6439
S10406,6.15551612903,6.23842307692,7.37542307692,6.64218,6.631525,8.64303809524,6.27355454545,6.97346153846,4.97405384615,6.32105
S10408,6.46699354839,6.26816923077,7.40308461538,7.171565,7.314765,8.62476904762,6.55640454545,7.33357692308,4.96437692308,6.8035
S10409,6.47154516129,6.43536153846,7.47894615385,7.0634,7.25114,8.40191428571,6.48521363636,7.42183846154,4.97632307692,6.8341
S10418,6.0223483871,5.9861,7.06980769231,6.57759,6.49043,8.34315238095,6.22851363636,6.7345,4.89738461538,6.06178333333
S10431,6.13128064516,6.13838461538,7.47794615385,6.88247,6.971805,8.37743333333,6.48397272727,7.24467692308,5.04523076923,6.26418333333
S10438,6.36837096774,6.30021538462,7.52471538462,6.963775,6.987955,8.24737857143,6.44285909091,7.18523076923,4.95966153846,6.51826666667
S10439,6.36419032258,6.46826923077,7.76859230769,7.11824,7.2002,8.6057,6.45015909091,7.25357692308,4.83806923077,6.44641666667
S10441,6.32621935484,6.4356,7.71022307692,7.13521,7.193215,8.7682047619,6.30498636364,7.10613076923,5.01938461538,6.55015
S10442,6.46342580645,6.31497692308,7.60869230769,7.038085,7.18972,8.5273452381,6.50251363636,7.35830769231,4.98275384615,6.33831666667
S1046,6.50110645161,6.23665384615,7.58932307692,6.937575,6.92335,8.7416547619,6.36061818182,7.14166923077,4.89453846154,6.27386666667
S10478,6.3669,6.39674615385,7.68296923077,6.54892,6.450325,8.95334285714,6.12015909091,7.0171,4.66299230769,6.02906666667
S10480,6.53414516129,6.34840769231,6.93608461538,6.918215,7.240575,7.6835952381,6.44521818182,7.26202307692,5.05756923077,6.47808333333
S10484,6.22167096774,6.26609230769,7.46103076923,6.977125,7.087345,8.5305452381,6.36390454545,7.09108461538,4.93658461538,6.58286666667
S10492,6.7226516129,6.40703846154,7.60021538462,7.157835,7.256305,8.41715238095,6.58567727273,7.58475384615,5.04288461538,6.95578333333
S10496,6.81746451613,6.57536153846,7.24727692308,7.04068,7.33734,8.39041904762,6.46689090909,7.55643076923,5.00303076923,6.62278333333
S10510,6.16457741935,6.10554615385,7.35902307692,7.034885,6.636595,8.03826666667,6.28339545455,7.12726923077,4.95396923077,6.4697
S10513,6.0151516129,5.93613076923,7.54063076923,7.17727,7.035055,8.41486190476,6.43086363636,7.14733846154,4.73275384615,6.41088333333
S10516,6.47006451613,6.19044615385,7.33335384615,6.85917,7.038715,8.22067857143,6.35945,7.18003076923,4.83073846154,6.35715
S10534,6.41741935484,6.20155384615,7.26709230769,6.783995,6.643755,8.31799047619,6.47913181818,7.4115,4.78886923077,6.6038
S10535,6.43443548387,6.33146923077,7.34123076923,6.84397,6.82613,8.0834952381,6.40620909091,7.37007692308,4.98972307692,6.5518
S10537,6.48656774194,6.38026153846,7.65537692308,7.097565,7.279215,8.56661666667,6.46768181818,7.27783076923,4.83475384615,6.48795
S1054,6.12241612903,6.29604615385,7.24213846154,6.741125,7.09929,8.07632142857,6.44817272727,7.2246,5.14107692308,6.73045
S10543,6.51665806452,6.43676923077,7.11426153846,7.093315,7.40936,8.41675238095,6.40770454545,7.36459230769,4.8541,6.4912
S10546,6.2058516129,6.25408461538,7.27978461538,6.990245,7.00537,8.08991904762,6.21914090909,7.0418,4.71472307692,6.14726666667
S1055,6.07041612903,6.23182307692,7.50256923077,6.857865,6.75765,8.6386547619,6.21755454545,6.92105384615,4.94816153846,6.24955
