Gene,B cells naive,B cells memory,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated
Mix_1,447.359972107,194.724511259,127.317856751,365.620016154,63.947215005,245.8298675,125.648040716,127.393061957,505.529748856,85.1755937514,50.1444008333
Mix_2,775.73611062,310.165158718,152.617573228,435.761790442,75.7235693375,198.382746835,61.2071406851,114.082673031,260.114757708,43.536618898,31.3298140097
Mix_3,404.787483364,132.4442831,167.086272145,452.12825223,74.648809795,585.013722095,57.3290758163,93.5009144063,252.087360958,57.0454557205,31.7654509783
Mix_4,510.223878743,168.659807159,180.411659542,494.979025788,78.8124705025,458.759156612,40.5225251909,92.5555183388,180.246201185,43.1872173072,26.7749544405
Mix_5,1050.55356991,417.826380166,109.242606299,307.224133668,65.58608027,258.123852635,19.8241434054,99.7938948583,109.472459518,34.8188650143,18.7388800795
Mix_6,634.245159458,299.362864467,92.5206721508,276.236786678,52.3220352875,314.357594117,148.397688927,141.596854767,584.18092305,93.4777825562,55.7250944967
Mix_7,607.76584859,209.51069075,211.704285593,572.331965947,74.53745728,591.97215835,26.2208129459,93.4272868492,143.11742783,28.3152803225,21.0406035603
Mix_8,761.327517624,317.470469416,192.790883494,533.52031288,66.994718835,382.65452024,89.4987363689,134.107524734,371.465520082,54.9990428293,33.9500264425
Mix_9,718.331709801,278.613438128,156.598772005,431.888148192,75.7177067575,357.623219108,54.7523920683,108.299448048,239.055234688,46.6088400871,28.0692642885
Mix_10,842.110583114,359.532130879,114.673018372,327.836191485,52.2887233425,428.118638147,89.3791164624,125.028409813,367.675218797,61.456226785,36.0663921445
Mix_11,682.247065378,237.665941168,197.35002232,547.08923375,88.01109068,266.193053358,40.8815758599,102.401807811,182.833799458,35.5014062065,25.3774310497
Mix_12,324.17634319,126.222003443,161.823593028,444.866361798,68.2496840725,408.899423012,109.302125629,112.291814294,430.958531382,77.0802353076,42.9055031387
Mix_13,940.250406105,375.457275804,147.780695514,412.209109062,64.503915865,450.78598672,48.4255998961,112.606236332,203.811842397,41.1490497761,24.1704328417
Mix_14,425.268241382,116.955612626,205.199115036,554.418230799,80.72438589,626.542510632,16.2423311654,75.37571562,95.4349402895,32.5171469936,19.404171632
Mix_15,534.566156278,178.44322765,229.693196982,627.179069949,92.1592963075,487.319557708,48.7775198289,104.793155655,222.514921371,45.3242440835,24.3407977515
Mix_16,722.366649763,280.790798857,194.764385075,529.409365637,67.2896397,499.195234114,65.9930287087,118.467867187,296.218864698,49.9195234051,29.732631497
Mix_17,586.74229713,203.464581328,221.087142335,594.349028991,78.33085398,579.091500726,40.7617124101,105.370260413,198.996139798,35.5536296886,20.1658682692
Mix_18,543.952150136,186.026576318,256.683307327,694.054311697,87.5909888675,393.464283259,52.435421893,114.539272373,241.789630754,47.1322939951,28.0847297583
Mix_19,406.488413416,169.497921659,132.921220626,371.993713342,59.878705035,513.721271013,110.660191841,116.203532479,451.320202905,80.788729015,41.3448201497
Mix_20,780.103976856,324.071263438,149.083354446,428.584144152,63.4397252975,399.802435456,86.4366257186,127.189753603,365.022419398,60.664237313,36.081343763
Mix_21,730.286207288,319.667223552,154.92073851,422.652841804,54.8567461475,425.488603981,115.945067588,136.552780346,477.357066851,76.116489136,43.0335384777
Mix_22,417.028297989,183.078057959,137.227215599,391.624944343,60.7248050075,450.917822933,131.208953677,128.663037939,532.843481335,85.529803485,46.2665181027
Mix_23,983.703991679,399.287659433,158.040347337,446.478050218,69.1922323775,242.099360852,57.0410942113,123.208544504,241.17272966,47.8175618625,26.1490814503
Mix_24,258.269339993,71.8267785917,279.896242458,758.30622056,81.1718662625,698.056316972,85.3166144571,111.460722251,351.569219944,59.167444686,30.6431944882
