naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
S10001	0.0745158323121085	0.158631217123389	0.129703947439508	0.0957711600222751	0.0585781671251443	0.131570939639106	0.143798084402743	0.17450925871267	0.0329213932230568
S10006	0.0716036702885088	0.145047659892262	0.118262787539022	0.0895628075836511	0.0653891839146287	0.163167121419412	0.140092124195925	0.175317509737456	0.0315571354291351
S1001	0.0666233390639451	0.1349059555991	0.123853756213655	0.0899206303952486	0.0646013968333654	0.178421059176774	0.140579342344389	0.168772058542831	0.0323224618306916
S10010	0.0623937039262294	0.142681165529051	0.132238252070075	0.0943235738724014	0.0640696026655019	0.157206330498407	0.157503507865327	0.156108785270085	0.0334750783029225
S10011	0.0716168409854884	0.149679592101782	0.129552312886925	0.0964226295382324	0.0625485754145158	0.139571587012006	0.144424010072093	0.173392014535388	0.0327924374535692
S10014	0.0702249528647504	0.1463307553519	0.127000804894219	0.0910758544063929	0.0658467412161076	0.154858599232335	0.144863096940935	0.16752482937539	0.0322743657179697
S10026	0.0635914047807034	0.142752813977499	0.127770196608807	0.088078284535776	0.0668003906964484	0.158347828055978	0.147816116641117	0.173259545854331	0.0315834188493402
S10032	0.0724761205103058	0.146107287287387	0.136678519754956	0.094987211244384	0.0665469707578427	0.149808324468077	0.140120594596785	0.161547707649969	0.0317272637302927
S10036	0.0664536587405656	0.148854787892981	0.122751510018257	0.085791514036215	0.0657367997807196	0.158109658845534	0.144344918078467	0.176685102259889	0.0312720503473715
S10042	0.0707167070983832	0.143460397387103	0.125735285550157	0.0898431768181787	0.0671589517640091	0.163340842596562	0.141932390010928	0.165830232791436	0.0319820159832428
S10044	0.0649191553839133	0.142836720683392	0.124424268731091	0.0887514400812764	0.0669245253979351	0.160882927319655	0.146755099778028	0.173146806037477	0.0313590565872312
S10049	0.0682774584194936	0.145998536798237	0.12765424436425	0.0897534097063747	0.0671774007184513	0.153207242732406	0.137928121614292	0.176964373114493	0.0330392125320041
S10057	0.0704203531001347	0.155707442553849	0.119134739059014	0.0938772870530131	0.066784402238942	0.152531746369759	0.137039861272421	0.170175954972246	0.0343282133806216
S10062	0.0677249716551187	0.149404304323148	0.132039979968096	0.0935085344336776	0.0639799704644245	0.149135192430635	0.141477175041345	0.169229017847552	0.033500853836003
S10066	0.0650953540628044	0.149021435892346	0.138813059984779	0.0952475463938637	0.0599107993045232	0.135834081071962	0.155824258640182	0.167572482553071	0.0326809820964687
S10067	0.0678112583925261	0.143029641416022	0.124589879820841	0.0876161908834932	0.0686556132081255	0.172401819729852	0.125887992299729	0.177094335992068	0.0329132682573428
S1007	0.0723316012157986	0.150972351487905	0.123663667910135	0.0922058620712533	0.0657700932004619	0.160339885176819	0.13416406814957	0.169304512390416	0.0312479583976415
S10073	0.067576790265829	0.143027704712225	0.124014151599042	0.0879150803493916	0.0640951486390627	0.165092484025093	0.136767281068753	0.178118080231644	0.0333932791089588
S10077	0.0733727394434527	0.153590458844961	0.135014307334595	0.0981570321718251	0.0639694237272696	0.144319491748023	0.136372133294136	0.162720969638323	0.0324834437974149
S10080	0.0728310807000204	0.147548970141624	0.129870031973168	0.0945297186195557	0.0632690672738239	0.15585780418852	0.13966089872742	0.162977711207922	0.0334547171679469
S10082	0.068531471542757	0.148412982589274	0.130939517226882	0.0920994032553479	0.0601117301244358	0.149310400870241	0.144711657626156	0.173228007471024	0.0326548292938829
S10087	0.0727158867987054	0.147255009466117	0.135123232695917	0.0910531889341335	0.0651154283749193	0.143420908440779	0.137190541804578	0.174887163605818	0.0332386398790326
S10089	0.0696931761061054	0.155395710294327	0.128578455355807	0.0930337809679943	0.0653026310862734	0.151560563864907	0.137979853904246	0.165070660644789	0.0333851677755504
S1009	0.0729995072111779	0.155417312042769	0.125643583318303	0.0901303514628097	0.0608814290478711	0.157247865055338	0.134574144131921	0.168583056882909	0.0345227508469011
S10090	0.0708524115483781	0.151569181305958	0.125149337584017	0.0935596089519955	0.0610577148598208	0.144238898713177	0.142948908749939	0.175221712285231	0.0354022260014829
S10093	0.068546356650181	0.151074349921198	0.12020380244492	0.0962280702095426	0.0652416376909575	0.158040806464027	0.148759118384431	0.160768896588644	0.0311369616460981
S10094	0.0677733434631107	0.142217600669406	0.130909233672514	0.0928244084065393	0.067765723706859	0.160872381801644	0.137558492901303	0.168399928393659	0.0316788869849654
S1010	0.0705925218423358	0.154335826204744	0.128445931319744	0.0939995283734255	0.0640769049088684	0.145223573252228	0.133578098780626	0.175587588452648	0.0341600268653796
S10111	0.0658210600522363	0.146152355699889	0.124925603759701	0.0891539583321138	0.068102856701858	0.16179254059771	0.137544752983923	0.17384384125842	0.0326630306141499
S10116	0.0689058886709255	0.155504304037141	0.122553022720852	0.0946439493627049	0.0647768303967426	0.155604213946126	0.125765705400294	0.176574665870888	0.0356714195943252
S10119	0.0700178790816765	0.149652868472581	0.12525978769016	0.0924594371322267	0.0656406521929305	0.152699253253229	0.137327138401297	0.173551142831748	0.0333918409441504
S10121	0.0683201897376636	0.143607966575769	0.124880703803976	0.0921256785286599	0.0648817658385119	0.167385625571815	0.140700419182841	0.163712152442883	0.0343854983178798
S10130	0.0668031402313255	0.149482262770775	0.125904901768359	0.0950640331626642	0.0637994205743353	0.164278907353058	0.143489973669714	0.158213323156999	0.03296403731277
S10140	0.0726989396392943	0.148431821046781	0.131601274643227	0.0907742402163268	0.0645008106396339	0.154955788907097	0.15171104583434	0.152898045844937	0.0324280332283627
S10142	0.069957067167652	0.145840899344065	0.122681920828594	0.0886347430760949	0.0729269127142385	0.177292301724835	0.12921779486756	0.1623324654253	0.0311158948516605
S10150	0.0710881575798876	0.150375218305797	0.125605560305275	0.0941333253724955	0.0635005172041093	0.153290444515075	0.157104566751916	0.150658272713864	0.0342439372515806
S10155	0.0711567436626788	0.14519059072987	0.127973464930606	0.0903045966252011	0.0649344978802828	0.153439161923377	0.136888614905461	0.177346084229862	0.0327662451126619
S1016	0.0677097211352777	0.15190259374611	0.123794237989215	0.0943642700707175	0.06799577394102	0.151513522035726	0.145077847237308	0.164524895266235	0.0331171385783907
S10163	0.0741245680260986	0.154682743543225	0.126062619666072	0.0956352946650649	0.0625457674667453	0.148178851575463	0.14208935603294	0.162586324978891	0.0340944740455005
S10167	0.0707513381655045	0.149196174419671	0.119636532102452	0.0915796330764357	0.0680427815155982	0.165264904820118	0.141731660415256	0.159261153494825	0.0345358219901396
S10168	0.0693886154973829	0.143365411685909	0.122786600120009	0.0888726535348276	0.0720992247591087	0.176097864536174	0.12934362085725	0.165363278694071	0.0326827303152681
S10173	0.0703846464999119	0.150075393577157	0.120306675017721	0.0926116061290348	0.0644091275511354	0.152215007265163	0.13792173287713	0.179147313089011	0.032928497993735
S10175	0.0711024947522557	0.145492818035207	0.123888688899012	0.0920002631730713	0.0677971108169815	0.159003402958822	0.140005728544305	0.168804024029876	0.031905468790469
S10179	0.0660782578210385	0.132959020313643	0.122240739816132	0.0894834554601832	0.0689217555057669	0.176917301522952	0.132355059408596	0.178273075076761	0.0327713350749265
S10186	0.0746708954739652	0.149852373861477	0.130044565983747	0.089491263204445	0.0687954577510034	0.158230414994466	0.123222816160457	0.173611070174968	0.0320811423954728
S1019	0.0689916444244321	0.149903745813069	0.126768006649214	0.0925698257533556	0.0657699991902813	0.164805962993264	0.128298166023049	0.170970019887562	0.0319226292657719
S10190	0.0711034226126325	0.140393579908673	0.125200474077497	0.0913552738169538	0.0612877455405209	0.153152897678313	0.141849605861351	0.183550532968471	0.032106467535587
S10195	0.0696148589175919	0.146566828584739	0.128582613208927	0.0902886314510229	0.0635332893576545	0.150926405921674	0.143020175583442	0.175634454206762	0.0318327427681877
S10196	0.0648277938001602	0.146867213149277	0.128306173431954	0.0909779205541202	0.066170584509274	0.153143422109579	0.143365030529646	0.174413912375087	0.0319279495409033
S10200	0.0629612873893991	0.142157610281371	0.129989522825516	0.0915716673027584	0.0694103880579364	0.168058314085724	0.143788926423184	0.160330201964842	0.0317320816692692
S10201	0.0690223847109158	0.151523508497232	0.131510610979468	0.0958464101266689	0.0626278112599243	0.155700223566596	0.154980227272038	0.146480764374837	0.0323080592123192
S10202	0.0708898419933976	0.145112615716473	0.128076997701247	0.0942429278841147	0.0657708092235219	0.166750712828096	0.137064819027031	0.159404995471009	0.0326862801551101
S10205	0.0728316433266595	0.140572601907008	0.12391110449346	0.0853748806670209	0.0709385779565426	0.164702157320398	0.137632412028116	0.173950447865199	0.030086174435596
S10211	0.066133529892865	0.14576089680504	0.124652756117714	0.089938948735824	0.0677148505378389	0.160784433299494	0.140166123438631	0.172751717029716	0.0320967441428762
S10221	0.0683465994551684	0.145461026108935	0.124395744625819	0.0898539149222006	0.0661826788071147	0.159680620759911	0.143605129536053	0.169581574231689	0.032892711553109
S10222	0.0724864001311222	0.159958128676745	0.132724342121932	0.0938680792679167	0.0610181979262729	0.135512500616353	0.148531569199181	0.162826084876952	0.0330746971835255
S10226	0.0709580053541841	0.147683013140941	0.129583595090585	0.0924319837857908	0.0667017563260997	0.148393871622908	0.144757582927205	0.165647537668189	0.0338426540840969
S10227	0.0679144047051228	0.150934727431178	0.130784481134235	0.0946726698710718	0.0643481453155531	0.144991519591917	0.145190823906256	0.168423600655375	0.0327396273892907
S10228	0.0632311244145461	0.147063954308966	0.127647225535063	0.0897756114635617	0.0673667734936569	0.160175350268351	0.140217954641552	0.171793264229563	0.0327287416447401
S10232	0.0723444768725451	0.143836896644534	0.113174944785063	0.0928969520725731	0.0678871659598552	0.16030486580472	0.133316177456619	0.18259948511837	0.0336390352857215
S10248	0.0671095177332296	0.142103150444878	0.120982995459332	0.0873469702992475	0.0663453309396088	0.153202800588207	0.14677218451526	0.183698794658343	0.0324382553618939
S10249	0.0670100593415417	0.149621810272113	0.137821026065338	0.0956916186931769	0.0621034608570784	0.129784502026398	0.155215294525395	0.170711737474778	0.0320404907441809
S1025	0.0682975339255064	0.141349052444062	0.126792232003415	0.0890901724081708	0.0689289159563409	0.171556191723798	0.133402934547233	0.169291508802766	0.031291458188707
S10266	0.0699468258363898	0.149072797736117	0.130108635999834	0.0939826323026226	0.0626915842838165	0.143736081210785	0.146645304306194	0.169569306639197	0.0342468316850441
S10269	0.0696276578338472	0.154744606768634	0.12655876402263	0.0932122796354536	0.0637541086330559	0.150283679174076	0.142299022222275	0.165465739976833	0.0340541417331949
S10272	0.0654995838447133	0.151526017681208	0.12349747133309	0.0905092198791171	0.066253771365186	0.156148107955047	0.146026038852959	0.167823021864265	0.0327167672244137
S10273	0.0762631431841169	0.146258994331872	0.127363362621762	0.0918832881300067	0.068063563865493	0.151391177988096	0.144241919842874	0.162853903694868	0.0316806463409113
S10274	0.0674933805819316	0.151210348726694	0.123266932704963	0.092013446721047	0.0660646697215188	0.163184724181009	0.135590519044391	0.168778518393191	0.0323974599252558
S1028	0.0695522513956209	0.137405276291223	0.127469656759133	0.0890614338775992	0.0652783321103242	0.157962735711199	0.143859345814411	0.177366864789803	0.0320441032506862
S10280	0.0717674281574169	0.139048999028777	0.1303085753961	0.0919010701992902	0.0648588650996108	0.15326443268047	0.143973211189296	0.171912659966169	0.0329647582828709
S10283	0.0677424982349286	0.13932209596166	0.12883549423559	0.0885942354553955	0.0687899237225025	0.173311881549819	0.128061058886317	0.171758389313993	0.0335844226397943
S1029	0.0722765352479054	0.152987688896002	0.126250928906658	0.0911449322865346	0.0655208083109011	0.155597287778551	0.139693917278599	0.163607341540051	0.0329205597547984
S10292	0.0722203983276051	0.153905834314519	0.124365804030392	0.091487270146391	0.0642838449945416	0.15486036241266	0.134366050432719	0.172093227235095	0.0324172081060781
S10294	0.0694033813078304	0.145826276824787	0.124049312745524	0.0867530134081985	0.0711389445471002	0.166824022915281	0.136128971971839	0.168491295273614	0.0313847810058267
S10302	0.0665274566167173	0.142155265307797	0.124308823314518	0.090847909137914	0.0637532689520862	0.161787875466239	0.144459121591585	0.173034249382831	0.0331260302303131
S10303	0.0710658992017986	0.150609916651871	0.127617101819082	0.09254607345953	0.0658616068935185	0.163353682631646	0.137898371745771	0.15828555273755	0.0327617948592339
S10323	0.0696372482236996	0.148203843497284	0.131164128572299	0.0927223960704557	0.0640329103925126	0.157895831639884	0.138957266725276	0.163067869049807	0.0343185058287832
S10326	0.0660088006352129	0.143129826050091	0.130209915166124	0.0893100955563309	0.0702602414099323	0.170627562436385	0.138002707952394	0.160221733611574	0.0322291171819563
S10328	0.0661938497732825	0.143725712594836	0.123662658396149	0.0884621359422001	0.0695069287184214	0.177927366723889	0.133982075073723	0.161872801793491	0.0346664709840092
S10329	0.0709737541123368	0.146310913987559	0.12566058966662	0.0885333711337798	0.0669446531705136	0.167852714033965	0.136369354394353	0.165317407442105	0.0320372420587666
S10336	0.0688115289208871	0.141863745275886	0.129325769804176	0.0937462017208924	0.0696583257119336	0.170932425187256	0.138057405399464	0.155474739615499	0.032129858364007
S10340	0.0737398212953338	0.145825632226743	0.127646397706633	0.090090904279525	0.0635707520547359	0.154659454101988	0.143036488537595	0.168186072204323	0.033244477593123
S10347	0.0684095176075787	0.158400773332145	0.126147033018652	0.0965152835965204	0.0613807191274102	0.153915930145854	0.134435068066852	0.166011985064041	0.0347836900409469
S10353	0.0715778713630747	0.149037993174857	0.12783943815018	0.0933710549827292	0.0654100100539982	0.155529780470738	0.137109054326623	0.165421247132042	0.0347035503457574
S10356	0.0735290894381847	0.149091596419827	0.127801092452975	0.0937164879670992	0.0638102639720119	0.148205232676397	0.13680435229556	0.174599307220546	0.0324425775573978
S10358	0.0659529228910473	0.147855283098783	0.129709231289322	0.0926862919603303	0.0662292709009488	0.155260016400903	0.142050814937731	0.168236193841585	0.0320199746793506
S10365	0.0690047304487214	0.144494868819029	0.131247609064787	0.0941906017784499	0.0691348556738806	0.152719600731707	0.145762024100913	0.160542533135282	0.03290317624723
S1037	0.0677151487212467	0.145825029289409	0.121004386593644	0.0875638327011984	0.067952894840955	0.17162955185692	0.13148063656665	0.173455944712705	0.0333725747172719
S10373	0.0712052656792275	0.143102420839373	0.122078573679772	0.0919434724027141	0.0681900796412436	0.162601938163511	0.136297560474423	0.172529286984928	0.0320514021348083
S10374	0.0709826762748798	0.147704222666254	0.119680864308063	0.0917936135973833	0.0638650044336456	0.160307891031212	0.132299377998613	0.183064966837462	0.0303013828524858
S10375	0.0689704228153102	0.138534317050134	0.127218297442689	0.0898833981028622	0.0658298486934729	0.163504602258649	0.14460621188013	0.170783986856193	0.0306689149005594
S10377	0.0738229169094441	0.15682279265399	0.117292530663225	0.0941086835848788	0.0615803069984281	0.153406269777588	0.135525705204153	0.175266858487529	0.0321739357207638
S10378	0.0699048466019556	0.139802541089344	0.125498825624257	0.0873026992580022	0.0686144444314404	0.171757282196833	0.13440296627515	0.169858390943572	0.0328580035794465
S10390	0.0770830101208255	0.158184195006103	0.12327022730029	0.096543476021584	0.0576789603009286	0.138917618520825	0.140577132096435	0.171700731057671	0.0360446495753375
S10391	0.0703035026727291	0.141762764119679	0.12486364331731	0.0952815345461699	0.0653947956641899	0.157768986917891	0.136095419084924	0.176250434807813	0.0322789188692941
S10393	0.0673394645965006	0.148068339010403	0.117727510378023	0.0843867807187202	0.0692751111664671	0.171770311734709	0.139212829389482	0.171175821181704	0.0310438318239903
S10400	0.070971518720004	0.150547415706697	0.137096287234733	0.0971365560722135	0.0629465504683806	0.140765902258694	0.141916276707498	0.166053241141971	0.0325662516898095
S10401	0.0725778822400741	0.153636936111883	0.129032204393987	0.0945941233033447	0.0622189387539204	0.155136556158725	0.135882481785042	0.162761450040643	0.0341594272123809
S10406	0.0697535748869487	0.147368073625865	0.133519820844337	0.0926568470209727	0.0643611952431117	0.140381370052044	0.153670782406609	0.16413537935384	0.0341529565662714
S10408	0.0704013734842879	0.149306801653725	0.130355529308931	0.0916926763349744	0.0620467135524105	0.15307207117921	0.144307824832082	0.165214630725155	0.0336023789292245
S10409	0.0665931452997368	0.142277750753935	0.12077053549063	0.0889405386769905	0.0682231406259576	0.166024757781049	0.137280114771487	0.17803387258016	0.0318561440200536
S10418	0.0716521102105877	0.158082329599729	0.125754333042835	0.100950564580785	0.0634005946486976	0.14041088504918	0.146955621505918	0.158374182640165	0.0344193787221039
S10431	0.0644849441212921	0.151268954603899	0.126451717058591	0.0936728944441455	0.0668090752706682	0.150166176546865	0.141674781544565	0.173994728519332	0.0314767278906423
S10438	0.070244245779091	0.147520272615188	0.127122411767988	0.0939075361874426	0.0634503441906459	0.15571513984743	0.143125644708486	0.16651583906917	0.0323985658345583
S10439	0.0692372639771581	0.148756928191623	0.130217151391251	0.0912306483065536	0.0655276701309964	0.149244773988016	0.144586735826841	0.168099423197644	0.0330994049899181
S10441	0.068584368290155	0.149681160809281	0.134383217336571	0.0937758182721738	0.0655718790261461	0.154155830980519	0.142563749773708	0.158865945694442	0.0324180298170041
S10442	0.070853893398417	0.144260667665656	0.133287469323265	0.0931920801165087	0.0670096614132606	0.15287657450798	0.14568910283257	0.161181313029386	0.0316492377129564
S1046	0.0698242158873647	0.148222379933676	0.130216723085256	0.0927359071357123	0.0642012414530494	0.147908543998183	0.149789289704741	0.165230795835075	0.0318709029669429
S10478	0.0711824654698378	0.155568139089112	0.141414095775668	0.0984133930932809	0.0575997529663233	0.134885323279421	0.157379770643714	0.151664338826527	0.031892720856116
S10480	0.0709454921442325	0.154533548534572	0.123082338609779	0.0897223100477842	0.0696800859237648	0.16546948886753	0.124840939736451	0.167464858951306	0.0342609371845804
S10484	0.0688816406636998	0.150173627283025	0.131304940679389	0.094163862368988	0.065396214038384	0.145814058653675	0.142149229323864	0.168156367503251	0.0339600594857238
S10492	0.0696061580679816	0.139803401135004	0.124809875481495	0.0918609199296077	0.0646655551364218	0.158114670629783	0.137991008947827	0.179716067825401	0.0334323428464788
S10496	0.0685754286367325	0.14844181087182	0.124667628081185	0.0849828937947432	0.0706807796765223	0.16684464547728	0.13672483271253	0.168123314367122	0.0309586663820649
S10510	0.0687872419141534	0.149695702923009	0.13155372833936	0.0876881060934309	0.0654486929448361	0.14440405332052	0.145267127152018	0.175083164868992	0.0320721824436808
S10513	0.0631246594447041	0.140207809881195	0.133004310647295	0.0945658058881919	0.0679243726076673	0.152534453512307	0.143646411959182	0.172929586972424	0.0320625890870332
S10516	0.070591010364434	0.148317295319322	0.131332368774849	0.0931729812881779	0.0650789852556973	0.163509626407047	0.133145929739708	0.162946466273034	0.0319053365777302
S10534	0.0692123581215141	0.14773660903299	0.134187473511004	0.091040162533514	0.0626842642156094	0.150818364749843	0.139851363013788	0.172020291949716	0.03244911287202
S10535	0.0710389688966766	0.148603344780527	0.129105725967765	0.0883711241820902	0.0619673128974614	0.153319132914931	0.137414054187141	0.178814573335565	0.0313657628378419
S10537	0.0703055841203232	0.145273573428888	0.134817849499025	0.0928286407254974	0.0684320233233956	0.156111600433954	0.141699946355103	0.159113543301422	0.031417238812392
S1054	0.0673513184673006	0.157837242214213	0.129770034076287	0.0935406736976267	0.0670978556551858	0.149300114002408	0.13228108712327	0.167658741690426	0.0351629330732829
S10543	0.0664904724045458	0.15054051145826	0.122088388023632	0.0899994085028528	0.0694543584879301	0.168801174668991	0.140239463025265	0.159745029553164	0.0326411938753588
S10546	0.0691643572686269	0.144747753678884	0.12475031855243	0.0877939078509592	0.0702053450392315	0.169582909928398	0.140704314751856	0.162839622104078	0.0302114708255365
S1055	0.0677820396009521	0.144220001130587	0.130276760463779	0.0943427583068802	0.0645535424902156	0.158604888806703	0.149759460542841	0.157246213790194	0.0332143348678473
S10551	0.0712736820003639	0.150077650264854	0.131582140344586	0.0969839076287327	0.065716422986488	0.15247063654079	0.136250074715496	0.160699697422809	0.0349457880958808
S10552	0.0677030175291132	0.153397477832837	0.129751542454802	0.0952816504762712	0.0635053191084011	0.16359291395906	0.141635323242859	0.153734905945815	0.031397849450841
S10555	0.0678850341136533	0.139484847978795	0.119749921049295	0.089168664918319	0.0709321422254751	0.183964181494676	0.132501951138178	0.16099681670139	0.0353164403802198
S10559	0.0666911702445244	0.141406038285492	0.134760295689831	0.0921588506903978	0.0665557071543515	0.162831277075492	0.137941030022818	0.1666103070211	0.0310453238159937
S1056	0.0720054898975821	0.148367588753833	0.128094887168009	0.0923574953680335	0.0608338722541235	0.15099409298691	0.138865228886685	0.175143185685454	0.0333381589993707
S10563	0.070207920110421	0.148782727364689	0.130647059458802	0.0932842248196474	0.0602087953552122	0.158942562405217	0.141312310378145	0.163062700747548	0.0335516993603186
S10574	0.064058107600129	0.144628432993422	0.129114513531227	0.090721523158737	0.0687797868335357	0.164315001206062	0.135216646878033	0.170778653598882	0.0323873341999726
S10576	0.0691880542866012	0.143465072463846	0.124912984376185	0.092685696275829	0.0656795871928025	0.156762093940672	0.147538372806735	0.167391537610515	0.0323766010468148
S10578	0.0656416430232893	0.140080899680602	0.128101234934679	0.0926381287221228	0.0658113796518797	0.16971878951336	0.144442134198641	0.161766475326199	0.0317993149492271
S10579	0.0613425655861551	0.150081607523445	0.124029180012858	0.0894854060995449	0.0690964270202693	0.164050143306412	0.145393354947524	0.163715598136098	0.0328057173676942
S10582	0.0692738319106645	0.143134559664506	0.126150704686429	0.089768883492897	0.0671555643770704	0.166347430904464	0.142669149759185	0.163884863808116	0.0316150113966683
S1059	0.0715360257769816	0.148076881825281	0.128415819918641	0.0920670183819032	0.0673805024458503	0.163634351272518	0.13759179025285	0.158044777177858	0.0332528329481163
S10599	0.0690456336419926	0.138313591715207	0.132042534285483	0.0943955894750169	0.0668343565171461	0.154819746829169	0.147000810335736	0.167670437305213	0.0298772998950365
S10611	0.0658787574350324	0.147410932352756	0.130217720960129	0.0921373101641104	0.0660927294223681	0.150211221507852	0.140730213278617	0.174582756104525	0.0327383587746092
S10614	0.0658487343499428	0.1427255694698	0.132324532315603	0.0944396094869571	0.0630329043297863	0.156770430504404	0.146867490304764	0.165119815209659	0.0328709140290836
S10624	0.06759731858096	0.161517345171891	0.125944113382007	0.0963218793890712	0.0614363714825278	0.151419146710434	0.134358329861204	0.167688152939956	0.033717342481949
