B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
mix_1	0.00978058044772312	0.0108666054335885	0.0515003273982673	0.024483247568583	0.182928070938553	0.0106557456397312	0.0464421005001134	0.282807071640974	0.12995994083704	0.250576309595426
mix_2	0.0146417316187191	0.0759058060614611	0.0305482057456738	0.021882842201623	0.158396485287869	0.00517786032504649	0.0536384516854082	0.336088382221461	0.115291109880732	0.188429124972006
mix_3	0.0215664180237483	0.0428261428174862	0.0806181230529616	0.0323448247187045	0.147322831332559	0.0127516626008896	0.0403642326903829	0.358872230317681	0.164491635106486	0.0988418993391009
mix_4	0.0139797838174773	0.0540342008984574	0.0146346645833308	0.0275569655024549	0.159579710094387	0.0069171882119316	0.0674658726132975	0.291525778586178	0.183169214122349	0.181136621570136
mix_5	0.0132006746116131	0.0566240519905499	0.0340767458038219	0.0286182852320089	0.156002919487266	0.00878911286321216	0.0556156208187264	0.305941198217332	0.158956229501361	0.182175161474108
mix_6	0.0130265896196329	0.0553650753372205	0.0106562888437154	0.0196141565527321	0.165573147063501	0.00519774285376249	0.0553935131545638	0.309323495316777	0.175045244094337	0.190804747163757
mix_7	0.0184627847581229	0.0583725777483124	0.0327355721223403	0.0315882180004918	0.15143590256536	0.00975614879675893	0.054462439475343	0.319591954994408	0.146595243058319	0.176999158480545
mix_8	0.0134869326053071	0.0336872522632955	0.0262237681669258	0.0256945351471464	0.185998513563454	0.00828461365411915	0.0511264585514805	0.320490988995561	0.120547755447262	0.214459181605448
mix_9	0.0114145601590639	0.0542005956196318	0.0163420805563254	0.0206035278114917	0.173752081648516	0.00713855921849709	0.0598879230306688	0.272382605151344	0.177835116199128	0.206442950605333
mix_10	0.0211108534120814	0.0755485843780153	0.0716916029516491	0.0278835510575193	0.120553221525038	0.0131686275749973	0.065250585018077	0.339738810323495	0.176150439326955	0.0889037244321723
mix_11	0.0161220190650699	0.0618752843667943	0.0546899620300817	0.0133910948620422	0.155079280602683	0.0099716201010288	0.0459805589523439	0.299115710765289	0.134937284932634	0.208837184322033
mix_12	0.0138802044890575	0.00939602324781759	0.0276164524642051	0.0275563932509958	0.168754292444985	0.00945976199450258	0.0596286319198117	0.318959180776221	0.191762312890576	0.172986746521828
mix_13	0.00639992902679944	0.0191306540411594	0.0326440247099742	0.0212089540527498	0.143271716887694	0.00906491350525306	0.0685513468544695	0.326420101464145	0.245224516015894	0.128083843441862
mix_14	0.0168073589553828	0.0577894319376538	0.0464780803179165	0.026014877561238	0.141970413153294	0.0111730437802046	0.0620457482304632	0.30322587159449	0.173461912748656	0.1610332617207
