ID,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
35,7.0473076,8.6129804,7.5053004,8.876743,7.8216644,7.8394338
36,6.816505,8.2087348,6.80331,8.5954068,6.989953,6.9109686
37,7.1477806,8.390214,7.2144614,8.6664036,7.8404418,7.670766
64,6.4718084,7.8696478,7.102245,8.0598798,7.2398254,7.2636772
65,6.769188,8.0778158,7.2024038,8.2283338,7.3761542,7.3140328
66,6.888072,8.2948618,7.0295516,8.7032156,7.3546642,7.2147786
92,6.7543422,8.0932958,7.1693896,8.4013812,7.337738,7.2069972
96,7.4641412,8.5806526,7.3939424,8.6953816,7.9287422,7.8454546
97,6.8762748,8.3733202,7.1980564,8.7118246,7.417128,7.4997622
142,6.7237616,8.1576394,7.050354,8.5316636,7.4248118,7.2467506
176,6.6608514,7.9803014,7.1659558,8.4289672,7.1918554,7.3283898
183,6.8095986,8.0977168,7.3400412,8.231897,7.6907312,7.6338564
190,6.8760414,8.1732252,6.8686028,8.3701478,7.2285026,7.0728446
205,6.5807218,8.352944,7.1432428,8.6295974,7.4113358,7.2878518
222,6.9816978,8.3931914,7.2774502,8.7079276,7.7192228,7.6286118
229,6.8058922,8.1733224,7.251242,8.6470548,7.2813854,7.4696762
240,6.8035844,8.089892,7.5868316,8.291847,7.4899572,7.8237616
280,7.0823482,8.804207,7.31125,8.9817326,7.7149636,7.5681764
284,7.106094,8.4896692,7.0350162,8.5985876,7.3007198,7.2537934
291,6.7248718,8.1863664,6.8971052,8.2055672,7.594809,7.2947544
320,6.852516,8.5393032,7.19576,8.7849872,7.3863726,7.3152234
327,6.9113364,8.4190454,7.3125032,8.4653048,7.669196,7.5398454
348,6.7927182,8.769895,7.4633506,8.921024,7.5220876,7.6557022
388,6.6639626,8.213538,7.3633512,8.4856476,7.453788,7.5518004
402,7.0034544,8.1165162,7.105386,8.3695098,7.225854,7.4193208
412,6.8682968,8.3550674,7.1575898,8.6402402,7.39175,7.3689146
414,7.402896,8.783825,7.3457172,8.9614548,7.7385042,7.6177228
423,6.8420538,8.180101,7.6477098,8.491226,7.5944194,7.7865086
446,6.8227128,8.5474454,7.467009,8.7216906,7.6259442,7.672552
456,6.663313,7.983377,7.276979,8.350962,7.4974948,7.415684
496,7.0285696,8.542461,7.5887118,8.6746062,7.836279,7.8763242
521,6.743999,8.4034548,7.2854862,8.6543624,7.4437664,7.4559966
530,7.0831426,8.5411892,7.7139806,8.6144224,7.7802862,8.0700104
548,6.716325,7.8499674,6.9619954,8.2292342,7.4263894,7.269599
554,7.1343654,8.574751,7.404723,8.9266584,7.7806406,7.7933104
558,7.1426268,8.6522496,7.2885272,8.8100914,7.6571768,7.5179796
564,6.6747106,8.3110132,7.096382,8.730406,7.4891654,7.3947934
569,6.9205694,8.6121472,7.2873918,8.828318,7.5493228,7.5146892
582,6.752146,8.3710568,6.8652978,8.4995272,7.1877876,6.9966706
620,6.5422642,8.5033792,7.431048,8.7699856,7.4387152,7.5759024
624,7.0620958,8.2768682,7.003293,8.3676074,7.694743,7.3304666
626,6.5869258,8.1956854,6.9628266,8.4804596,7.1200316,6.9883318
671,6.8107926,8.1646366,7.4538488,8.4382834,7.4677848,7.6533052
684,6.7585748,8.2688726,7.2695204,8.4538192,7.4626108,7.4327838
726,6.9719222,8.3891524,7.4370292,8.4389874,7.6512584,7.6124622
800,7.0415572,8.5206734,7.0501264,8.6973818,7.5174774,7.3681076
823,6.4787744,8.3247658,7.2051908,8.6392656,7.2040764,7.3067178
