	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.357107263456	0.212700818566	0.0873962059206	0.0382953136669	0.235568349634	0.0689320487564	0
B	0.359789775088	0.216043662982	0.0769372986061	0.0391889536501	0.237629891106	0.0704104185684	0
C	0.311595342838	0.195108440727	0.102139645804	0.0379213019377	0.279915829816	0.0733194388768	0
D	0.327324615081	0.189954604799	0.0802681087226	0.0397897457607	0.286681147569	0.0759817780677	0
E	0.317219152237	0.20388655465	0.0949365473354	0.040052097385	0.260598558938	0.0833070894546	0
F	0.336027484952	0.21714197266	0.119101508313	0.0428344052144	0.209008227363	0.0758864014964	0
G	0.355818355098	0.225640476841	0.0878593077782	0.0461595974902	0.222623899206	0.061898363586	0
H	0.345453506585	0.245952064352	0.088441823238	0.0415435742593	0.217649062642	0.0609599689242	0
I	0.333199243972	0.240089560904	0.115735555334	0.0402915378902	0.211009315648	0.0596747862516	0
J	0.32841244164	0.175722745475	0.0961647420043	0.0377283024044	0.307449187384	0.0545225810921	0
K	0.311900157782	0.171209941298	0.101920280474	0.0423358650472	0.282457908626	0.090175846773	0
L	0.259789072138	0.192914478514	0.104423525626	0.043127102136	0.334120800162	0.0656250214231	0
