	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0.0676399208951	0.21707119813	0.0612941308226	0.653994750152
S10006	0.0694900777883	0.234004853731	0.0555224572191	0.640982611262
S1001	0.0681945971283	0.238919076571	0.0559373251958	0.636949001105
S10010	0.0756667618729	0.233952042777	0.0624172393793	0.627963955971
S10011	0.0690803190286	0.230683646591	0.0618367007726	0.638399333608
S10014	0.069057071861	0.232872643762	0.0566888777098	0.641381406667
S10026	0.0714080835484	0.246061018142	0.0560098940139	0.626521004296
S10032	0.0696475958469	0.233581361102	0.0632514195768	0.633519623474
S10036	0.0674705436343	0.240867171357	0.0519892775851	0.639673007423
S10042	0.0708180826213	0.241936083519	0.0577880461292	0.62945778773
S10044	0.0665172599713	0.240242461505	0.0557054619379	0.637534816585
S10049	0.0671527035121	0.242084301596	0.054200289918	0.636562704974
S10057	0.0656376488549	0.238643584459	0.0550314678599	0.640687298826
S10062	0.0711328852643	0.238214897953	0.0622018020823	0.628450414701
S10066	0.0740455336639	0.225608249908	0.0634799554869	0.636866260941
S10067	0.0665506998675	0.252040483783	0.0555035866638	0.625905229685
S1007	0.0695746329969	0.226313985493	0.0573332351642	0.646778146346
S10073	0.0691257211422	0.229385687432	0.0575678898137	0.643920701612
S10077	0.0671947011016	0.22616805314	0.0631283874324	0.643508858326
S10080	0.067824147141	0.229726773793	0.0626644343422	0.639784644723
S10082	0.0708375771164	0.232159673524	0.0612008981013	0.635801851258
S10087	0.0676504702662	0.23297850536	0.0580063760104	0.641364648363
S10089	0.0688299710176	0.232293146639	0.0569017193701	0.641975162973
S1009	0.0661976481815	0.231726610973	0.0579309151263	0.644144825719
S10090	0.0703504410142	0.217706000434	0.0585323819864	0.653411176566
S10093	0.0706261633046	0.223424571754	0.0570149721109	0.648934292831
S10094	0.0698839128518	0.236200134993	0.0606269157117	0.633289036443
S1010	0.0690029078277	0.226084971608	0.0582721518713	0.646639968693
S10111	0.0657099581759	0.239102174573	0.0559474466715	0.639240420579
S10116	0.0630002498531	0.239704498935	0.0611085522845	0.636186698927
S10119	0.0654619821793	0.237951540844	0.0574189657744	0.639167511202
S10121	0.0679935768472	0.245044898573	0.0585490204147	0.628412504166
S10130	0.0718973956749	0.228032740899	0.0604400911395	0.639629772287
S10140	0.0704059550457	0.23393780111	0.0576894711855	0.637966772659
S10142	0.0626442705104	0.25166685667	0.0559690873903	0.62971978543
S10150	0.0740299013888	0.223684312774	0.0632962562115	0.638989529626
S10155	0.0664202606662	0.238475382139	0.0576030038871	0.637501353307
S1016	0.0699091130607	0.234604734319	0.0583642164006	0.63712193622
S10163	0.0694284320873	0.221341693161	0.0639114926088	0.645318382143
S10167	0.069852775025	0.232032893378	0.0537097488087	0.644404582788
S10168	0.0661235969283	0.248598631809	0.0580376046016	0.627240166661
S10173	0.0681354669306	0.247204665157	0.0602377041983	0.624422163714
S10175	0.0697949408455	0.239883484019	0.0580459902258	0.632275584909
S10179	0.0655354676011	0.241298975856	0.0576209361507	0.635544620393
S10186	0.0592404604431	0.241678787342	0.0522672175739	0.646813534641
S1019	0.0674160282386	0.238293321654	0.0596876568531	0.634602993255
S10190	0.0644030200912	0.24168358923	0.0566351690083	0.637278221671
S10195	0.0728079766171	0.230221242701	0.0573747439183	0.639596036764
S10196	0.0652950187086	0.235278751594	0.056053434078	0.643372795619
S10200	0.0704232181974	0.237702222452	0.0575090898863	0.634365469465
S10201	0.0726868468327	0.221470925904	0.0622694152762	0.643572811987
S10202	0.0697787854848	0.229535191592	0.0640525484884	0.636633474435
S10205	0.0687952048606	0.242143694693	0.0535284645348	0.635532635911
S10211	0.0690608824346	0.235651453397	0.0517974288984	0.64349023527
S10221	0.0715246302047	0.227641068748	0.0554740203718	0.645360280675
S10222	0.0696655578671	0.215045850318	0.0535842256828	0.661704366132
S10226	0.070419052238	0.238509771857	0.0582378074	0.632833368505
S10227	0.0703989291385	0.230521849491	0.0589747144765	0.640104506894
S10228	0.0671287280014	0.234570894597	0.0560731310811	0.64222724632
S10232	0.0644342570652	0.247256358782	0.0557606424391	0.632548741714
S10248	0.0671481405083	0.243817997926	0.0528476173311	0.636186244234
S10249	0.0706916829372	0.218533859642	0.0650017991168	0.645772658304
S1025	0.0660744947126	0.24302976833	0.0557067739585	0.635188962999
S10266	0.0684828898316	0.223841728575	0.0602473959743	0.647427985619
S10269	0.0718409911892	0.238456665112	0.0604610364596	0.629241307239
S10272	0.0725887197994	0.238716562501	0.0545174693057	0.634177248394
S10273	0.0702380832403	0.23529358474	0.0598088105424	0.634659521478
S10274	0.0707579380533	0.234915426351	0.0581004464553	0.63622618914
S1028	0.0695701121878	0.241506762151	0.0564095917616	0.6325135339
S10280	0.0683926895926	0.22751040121	0.064477332796	0.639619576401
S10283	0.0648542722556	0.2457436184	0.0573462046418	0.632055904703
S1029	0.069026333115	0.234852641365	0.0547884945404	0.64133253098
S10292	0.0686268718677	0.237851363232	0.0541838357942	0.639337929106
S10294	0.0649718956154	0.244787579986	0.0533345005515	0.636906023847
S10302	0.0675974551017	0.240610567472	0.0563612182884	0.635430759138
S10303	0.0684352583572	0.239507254597	0.0609489149329	0.631108572113
S10323	0.0702995821921	0.232658002403	0.0584293499107	0.638613065494
S10326	0.0703390088694	0.240047200496	0.0572301385317	0.632383652103
S10328	0.0664122328149	0.243046879821	0.0595565719206	0.630984315443
S10329	0.0655998003066	0.242945845278	0.0587270192765	0.632727335139
S10336	0.0706877091661	0.23979571422	0.0610182010317	0.628498375582
S10340	0.0705304908157	0.234277097989	0.0579392556954	0.6372531555
S10347	0.0685801703048	0.223594588419	0.0620231919595	0.645802049317
S10353	0.0692018497666	0.24506685545	0.0599175470851	0.625813747698
S10356	0.070226979759	0.228628755766	0.0628312764879	0.638312987987
S10358	0.0690844273754	0.234985349733	0.061555298211	0.634374924681
