	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.0587837715156	0.0822400255465	0.817944037195	0.0239128074896	0.0158570850197	0
Mix_2	0.135572666344	0.121743696303	0.718231634469	0.0159876549658	0.00756823058153	0
Mix_3	0.0349974418897	0.0796051870949	0.826575257424	0.0140681718244	0.0435452390599	0
Mix_4	0.059586000702	0.10314063791	0.794286890974	0.0118907797758	0.0299621702891	0
Mix_5	0.156688496158	0.0462004497998	0.76929965867	0.0101170711062	0.0165423841248	0
Mix_6	0.112684354573	0.0460384137152	0.777290218978	0.0308210773866	0.0321711837145	0
Mix_7	0.0994994605466	0.160121509405	0.680787060875	0.0118769744002	0.0468418592789	0
Mix_8	0.255240510903	0.306879248564	0.351426887044	0.0379226879977	0.0479966323138	0
Mix_9	0.109249948022	0.101112663433	0.748003364548	0.0162884901022	0.0242618732805	0
Mix_10	0.154406282082	0.0695168096584	0.706019119447	0.024685333086	0.0442513375528	0
Mix_11	0.108649924961	0.16251874674	0.702884790293	0.0152556594629	0.00960399867023	0
Mix_12	0.0275240881915	0.103858172565	0.812845164427	0.0234633618825	0.0312595560169	0
Mix_13	0.18548320423	0.0981615121808	0.656388851962	0.0169628864262	0.0421859126695	0
Mix_14	0.038280793839	0.116997075773	0.792461957907	0.00918799128777	0.0418710380833	0
Mix_15	0.0755548648345	0.215269139394	0.651946487358	0.0185059708558	0.0377933903147	0
Mix_16	0.161230360405	0.200094800465	0.560892817013	0.0252426719123	0.0517816099294	0
Mix_17	0.0891686292098	0.201717357825	0.642334259918	0.0148564720321	0.0511292486649	0
Mix_18	0.101042445484	0.337532256907	0.516444200474	0.0190498083801	0.0255836801327	0
Mix_19	0.0465528338576	0.06704487893	0.819577540938	0.0210014540127	0.0446740113714	0
Mix_20	0.168632554445	0.130796511759	0.632778481944	0.0250900827388	0.0417835267898	0
Mix_21	0.174891951015	0.147749915418	0.589241784826	0.0368400943531	0.0506412422415	0
Mix_22	0.0546931635689	0.0789398830369	0.799109230583	0.0262095088526	0.0401026966069	0
Mix_23	0.219742729957	0.144875000302	0.601051100581	0.0199677032495	0.0135884691851	0
Mix_24	0.0166588603458	0.401323309481	0.458852249028	0.0338867067282	0.0890354329608	0
Mix_25	0.181952620622	0.134158823357	0.624948176201	0.0146401572247	0.0434014478869	0
Mix_26	0.159140788773	0.226514669724	0.539756538963	0.0164540329054	0.0574067339905	0
Mix_27	0.287605452757	0.229023014153	0.306202312821	0.0448133437988	0.132278955559	0
Mix_28	0.10994629512	0.117855162296	0.714132078551	0.0257343379104	0.0314462848474	0
Mix_29	0.186827534078	0.222721673224	0.513907529583	0.017394109901	0.058658063192	0
Mix_30	0.0707296025472	0.0784369806261	0.797428545076	0.0107184982263	0.0416093393573	0
Mix_31	0.14786431918	0.169286213705	0.619458121994	0.0222129226668	0.0406006085746	0
Mix_32	0.137674385054	0.361938780984	0.419249972629	0.0305416452285	0.0503937347855	0
Mix_33	0.0573372240216	0.219468617875	0.646493078309	0.0219804614028	0.0539069519244	0
Mix_34	0.127120167064	0.0597861928712	0.755251856175	0.0260820699872	0.0306873976457	0
Mix_35	0.0829791044476	0.110594525141	0.77410413296	0.0117866334647	0.0194417837209	0
Mix_36	0.119447163971	0.119955659925	0.706454426196	0.0167462330284	0.0363748150928	0
Mix_37	0.0426975505044	0.0700450127138	0.835276011982	0.0130282554963	0.0378322158369	0
Mix_38	0.0333444879399	0.132178731528	0.783245336979	0.0213016006874	0.0287749979482	0
Mix_39	0.316907552134	0.201227883471	0.392646492484	0.0518117107467	0.0369437071262	0
Mix_40	0.0789051630153	0.0613914828081	0.811835439638	0.0115345242398	0.0352160771807	0
Mix_41	0.0644779409082	0.0585323530421	0.842988993449	0.0116250168775	0.0206814317276	0
Mix_42	0.189056210903	0.291990858848	0.424864013458	0.0204950749459	0.0733390514355	0
Mix_43	0.129941400743	0.0603639288513	0.752684041722	0.0211880226874	0.0348776470851	0
