	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.140322846357	0.0435436493275	0.18920414359	0.412557576451	0.0340111530971	0.162338819322
Mix_2	0.35134307634	0.0793938524158	0.162903657718	0.212289361587	0.0157498937513	0.160515363787
Mix_3	0.121298894167	0.0519226686328	0.270944259475	0.213086180988	0.128751071297	0.19515621744
Mix_4	0.212553940114	0.0818122123018	0.263041954491	0.137114591898	0.0905648699684	0.195830724535
Mix_5	0.497299378965	0.037475431527	0.22155473123	0.0491415944598	0.0427901000667	0.134438490557
Mix_6	0.2244426793	0.0151354307391	0.1368431269	0.426580883883	0.0529246089435	0.127346727333
Mix_7	0.281143138883	0.0993177730798	0.184607476468	0.0963475876662	0.119769031947	0.202477377313
Mix_8	0.330907571135	0.0855802968821	0.035804486037	0.313379607309	0.0528190861979	0.169862108828
Mix_9	0.322181238499	0.0652360027808	0.19414155949	0.179578507391	0.0572581100829	0.164985987517
Mix_10	0.353961901368	0.0209619913036	0.127619337962	0.269927560774	0.0794737185221	0.134347576146
Mix_11	0.317126712063	0.117038441569	0.17876379122	0.147792471721	0.0234617038454	0.197206789489
Mix_12	0.071399371988	0.0613227107929	0.215030886003	0.377237475313	0.0755843367539	0.183227308416
Mix_13	0.425798683896	0.0485130645426	0.139755497268	0.132671970361	0.081967195554	0.15498743274
Mix_14	0.168378434672	0.0970437765609	0.303720769281	0.0438281133158	0.145088167615	0.218777033094
Mix_15	0.225457045421	0.12756306448	0.155058908892	0.171502420097	0.0829262938666	0.221159500892
Mix_16	0.321192969304	0.0812591532146	0.0924365996595	0.238449381837	0.0841652214167	0.169348713182
Mix_17	0.263610648209	0.108571008996	0.147861516441	0.158061791414	0.109870416205	0.195850016885
Mix_18	0.236058693363	0.16861374971	0.0912837226313	0.230255387059	0.0437789796083	0.215362519836
Mix_19	0.117979649554	0.0315848010668	0.204680670706	0.369666926403	0.103961909902	0.157276831732
Mix_20	0.325379781645	0.0550096955224	0.106865145432	0.28334246416	0.0651982168759	0.150630270824
Mix_21	0.281715389577	0.0477915125231	0.0758667615218	0.365683412749	0.0660747890556	0.150938090026
Mix_22	0.119576561797	0.0376686137645	0.164919854166	0.420355800889	0.0806581716456	0.161489999068
Mix_23	0.457496304851	0.0758575167633	0.104667332132	0.174710087723	0.0229941669224	0.149978958431
Mix_24	0.010010391962	0.165084805445	0.0611863320897	0.354731250631	0.136180724489	0.258726841608
Mix_25	0.450886145184	0.0694089068586	0.138918929504	0.0720288063205	0.0877318263121	0.165886154499
Mix_26	0.35434728997	0.101100957424	0.0936075392903	0.141220567225	0.102782942404	0.191428102175
Mix_27	0.334502101477	0.0429432779207	0.0155612251041	0.314150792788	0.125291603853	0.158554340043
Mix_28	0.242630272612	0.0570571011026	0.138202672473	0.335354333014	0.0567157283503	0.1550987344
Mix_29	0.39063275572	0.0941214938943	0.0901885520295	0.13140660702	0.100725332365	0.179344935339
Mix_30	0.276549403118	0.0566806526753	0.285622582466	0.0506846351913	0.136261734793	0.176274922054
Mix_31	0.332809093623	0.0743410466467	0.124232833482	0.211613953729	0.0731803453856	0.169730828546
Mix_32	0.217742192022	0.146094629127	0.0526715089851	0.298277990598	0.065691997757	0.207070372143
Mix_33	0.129994507563	0.105440093106	0.136917651629	0.30508409497	0.103144102938	0.203603625922
Mix_34	0.249846718706	0.0242670227365	0.129998341676	0.387003621694	0.0524292058726	0.139758700338
Mix_35	0.278119311888	0.0831860732453	0.243043603214	0.141574098259	0.0551970840843	0.178886925871
Mix_36	0.318596991909	0.0649310575683	0.1650906506	0.184700661329	0.0809991843745	0.170203099323
Mix_37	0.148249986616	0.0433800663355	0.27040068476	0.220887030097	0.112723904951	0.184206706089
Mix_38	0.0820695505225	0.0844942860194	0.203263051189	0.354764332772	0.0674870119914	0.188855557777
Mix_39	0.351287042619	0.0476552981428	0.0290282340067	0.391379555101	0.0343274584681	0.136309697874
Mix_40	0.297848242198	0.0361447212675	0.252813436687	0.135259071888	0.104287175625	0.155199061251
Mix_41	0.217016059642	0.0579046652837	0.271221323596	0.197384458038	0.0602951793189	0.169118445406
Mix_42	0.358348380387	0.105073008606	0.0594302456311	0.151759687964	0.115073786424	0.198294315359
Mix_43	0.321163542982	0.0245487861042	0.15993008113	0.270235970796	0.0708030782898	0.13760572465
Mix_44	0.130639230064	0.0612432083881	0.245501562748	0.329490497086	0.0447446657823	0.168027085696
Mix_45	0.181329143619	0.0580969224231	0.14477150142	0.278562583949	0.145573282807	0.176959646392
Mix_46	0.349304606673	0.0637920144828	0.0262369682848	0.231670808976	0.1376258889	0.183032514064
Mix_47	0.219717431842	0.035715183988	0.153019186906	0.348694531829	0.0697000423944	0.158747162532
Mix_48	0.326044663837	0.0804014490037	0.168842868115	0.169212268307	0.0606741701715	0.176895824198
Mix_49	0.184984657212	0.0869490652972	0.350707183822	0.0725877865761	0.0790985248514	0.201975280284
Mix_50	0.158115076578	0.107573359963	0.0631269717601	0.281628521689	0.161882536043	0.212979836567
Mix_51	0.315345430587	0.0891640635959	0.124170136159	0.219318495892	0.055794403471	0.179896213884
Mix_52	0.087302929006	0.077943738177	0.228805500753	0.218367513183	0.163703549507	0.204103219537
Mix_53	0.263193895865	0.0497545719048	0.0871164568237	0.346343644996	0.0829244552838	0.157899074588
Mix_54	0.109455651791	0.0218391805413	0.310883623285	0.342784288259	0.0386770354837	0.153839796974
Mix_55	0.0878828289398	0.0595474249843	0.342193420644	0.184215482312	0.120893707022	0.185323033089
Mix_56	0.148431092542	0.0745720485942	0.0936492890453	0.326335823841	0.14576961842	0.197702151412
Mix_57	0.0180323278119	0.0796657500353	0.404326310638	0.240721487226	0.0306892239642	0.200084318192
Mix_58	0.20189107901	0.135456230217	0.143871266012	0.196715548263	0.0903754708846	0.217409694552
Mix_59	0.140562503161	0.036679846144	0.363755180536	0.167049269844	0.0922991376012	0.175303566843
Mix_60	0.518375621243	0.0542528781966	0.0595133639458	0.034120438011	0.160801683698	0.162485949593
Mix_61	0.372488310081	0.0255796376629	0.171882900598	0.228780396424	0.05816611041	0.128017838473
Mix_62	0.477102944057	0.0285113756373	0.247019486876	0.0280354319457	0.0552238675806	0.143344042726
Mix_63	0.0795946515469	0.0363803310417	0.297444055086	0.348691644859	0.0514973598441	0.166570893624
Mix_64	0.23651211643	0.0266170234826	0.114491335529	0.391794051237	0.0737302546481	0.142130499826
Mix_65	0.269299349028	0.0451978112424	0.100650403321	0.336211306301	0.082392226458	0.15141192514
Mix_66	0.369602468298	0.0830361504612	0.192408061056	0.0783066855051	0.0763529151172	0.183357680379
Mix_67	0.422403241134	0.0283141547217	0.108869797878	0.290794643411	0.0133580284933	0.121161912178
Mix_68	0.222600446104	0.0803915786501	0.0555619766777	0.295286896018	0.140928621603	0.191763621197
Mix_69	0.433969148163	0.0395901930509	0.149690669019	0.145614544793	0.0742060985805	0.143739713303
Mix_70	0.212578362854	0.102131680927	0.0866343051466	0.244673033392	0.126724324143	0.213562808189
Mix_71	0.238747561121	0.0407226788112	0.242983843035	0.170519200663	0.122741298087	0.165743505263
Mix_72	0.156083372874	0.11432164495	0.0333743272137	0.423962072067	0.0624053341422	0.197315182118
Mix_73	0.0839047944105	0.0725640629728	0.350888099654	0.151311592499	0.110517089006	0.20817750987
Mix_74	0.34876298635	0.0218764675874	0.185473303841	0.24112772392	0.0542578845797	0.131556310692
Mix_75	0.248747492574	0.0747870839109	0.318512175153	0.117259713507	0.04722240179	0.172329900256
