	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0.0711572761944	0.703541817087	0.225300906718	0
S10006	0.0706572459101	0.707390992961	0.221951761129	0
S1001	0.0703395170692	0.70603152617	0.223628956761	0
S10010	0.0729994339151	0.700500034102	0.226500531983	0
S10011	0.0703423584126	0.704396991714	0.225260649873	0
S10014	0.0708343236163	0.705820420332	0.223345256051	0
S10026	0.0713006262843	0.705909453697	0.222789920019	0
S10032	0.0708694906442	0.701925072093	0.227205437263	0
S10036	0.0708359640534	0.708946891775	0.220217144171	0
S10042	0.0712512104949	0.704509400356	0.224239389149	0
S10044	0.0718348800969	0.705716071673	0.22244904823	0
S10049	0.0711331251379	0.706300348177	0.222566526685	0
S10057	0.0682365248318	0.709896592307	0.221866882861	0
S10062	0.0708990637737	0.703598588001	0.225502348226	0
S10066	0.0734625520404	0.699386486585	0.227150961375	0
S10067	0.0699965252751	0.708616195062	0.221387279663	0
S1007	0.070138812385	0.706665499489	0.223195688126	0
S10073	0.0705728852474	0.706684311752	0.222742803	0
S10077	0.0705032846947	0.70293050586	0.226566209445	0
S10080	0.0709494922723	0.702693080296	0.226357427432	0
S10082	0.0706258175065	0.706508072787	0.222866109706	0
S10087	0.0706935211958	0.70523835908	0.224068119724	0
S10089	0.0712772977865	0.705117682423	0.223605019791	0
S1009	0.0686508253853	0.708588198067	0.222760976548	0
S10090	0.0710055336517	0.707271351275	0.221723115074	0
S10093	0.0695957479604	0.707504951143	0.222899300897	0
S10094	0.0718542362099	0.702213855785	0.225931908005	0
S1010	0.0702154859525	0.704182375811	0.225602138236	0
S10111	0.0704985419559	0.706389515907	0.223111942137	0
S10116	0.0677606212742	0.708118570846	0.22412080788	0
S10119	0.0697584123478	0.708481739926	0.221759847727	0
S10121	0.0711337309484	0.705435951545	0.223430317506	0
S10130	0.0713308313395	0.70403934817	0.22462982049	0
S10140	0.072921972942	0.700974279778	0.22610374728	0
S10142	0.0694929245748	0.707501094993	0.223005980432	0
S10150	0.0726548267313	0.701171792451	0.226173380818	0
S10155	0.0704462592852	0.706353943602	0.223199797112	0
S1016	0.0706672284811	0.706541687397	0.222791084122	0
S10163	0.0706062059897	0.702759941816	0.226633852195	0
S10167	0.0700240056652	0.707233781258	0.222742213077	0
S10168	0.0699255867351	0.708268002752	0.221806410513	0
S10173	0.069157537404	0.709962669133	0.220879793463	0
S10175	0.0716579920816	0.704170124493	0.224171883426	0
S10179	0.0697424628545	0.707296377592	0.222961159554	0
S10186	0.067712545234	0.709755426387	0.222532028379	0
S1019	0.0699449211044	0.706372588828	0.223682490067	0
S10190	0.0699646274467	0.707968805415	0.222066567139	0
S10195	0.0717478582682	0.703481213508	0.224770928224	0
S10196	0.0713952522534	0.704427448125	0.224177299621	0
S10200	0.0718327403989	0.702847393242	0.225319866359	0
S10201	0.0741819591728	0.700003854565	0.225814186262	0
S10202	0.07065451315	0.704830392861	0.224515093989	0
S10205	0.0716476246619	0.704906223405	0.223446151933	0
S10211	0.0693321823117	0.708667848814	0.221999968874	0
S10221	0.0708082353866	0.705514808055	0.223676956558	0
S10222	0.0716088589919	0.705284398856	0.223106742152	0
S10226	0.0717736031889	0.704330941161	0.22389545565	0
S10227	0.071853549308	0.702960919918	0.225185530774	0
S10228	0.0712991866502	0.704635788631	0.224065024719	0
S10232	0.0674333041966	0.71320338092	0.219363314884	0
S10248	0.070819446853	0.709661424761	0.219519128386	0
S10249	0.0722849037406	0.698360737984	0.229354358276	0
S1025	0.0701578268965	0.706290203772	0.223551969332	0
S10266	0.0715531683896	0.701986835761	0.226459995849	0
S10269	0.071474291363	0.704885622026	0.223640086611	0
S10272	0.0715587006032	0.706644112076	0.221797187321	0
S10273	0.071734115756	0.704363807573	0.223902076671	0
S10274	0.0712348357348	0.70515542808	0.223609736185	0
S1028	0.0712590103904	0.706954897001	0.221786092609	0
S10280	0.0710453157572	0.702383781195	0.226570903048	0
S10283	0.0693559037046	0.706692507783	0.223951588513	0
S1029	0.0704125020406	0.705317055616	0.224270442344	0
S10292	0.0695600579553	0.709459770785	0.22098017126	0
S10294	0.0699042675121	0.708580590122	0.221515142366	0
S10302	0.0702239921042	0.707365344351	0.222410663545	0
S10303	0.0705252392946	0.705128789953	0.224345970753	0
S10323	0.0708650268047	0.704419502619	0.224715470576	0
S10326	0.0716249364885	0.70368507324	0.224689990272	0
S10328	0.0707088199005	0.70566387939	0.223627300709	0
S10329	0.0705610390297	0.705844766281	0.223594194689	0
S10336	0.0710209325403	0.704038835566	0.224940231893	0
S10340	0.0714741578158	0.706278810696	0.222247031488	0
S10347	0.0692901922953	0.706949239809	0.223760567896	0
S10353	0.0707385066	0.705266484068	0.223995009332	0
S10356	0.0695689905764	0.706449589965	0.223981419458	0
S10358	0.0719452427369	0.702055623487	0.225999133776	0
S10365	0.0717360358912	0.704187438319	0.22407652579	0
S1037	0.0686117530486	0.710464879882	0.220923367069	0
S10373	0.0700913285168	0.707134346992	0.222774324491	0
S10374	0.0694924808704	0.709922094418	0.220585424711	0
S10375	0.0710986464784	0.704345976929	0.224555376592	0
S10377	0.0680801702373	0.709940678912	0.221979150851	0
S10378	0.0708668841852	0.706293231782	0.222839884033	0
S10390	0.0688212175442	0.708311202165	0.222867580291	0
S10391	0.0693660350331	0.707053654036	0.223580310931	0
S10393	0.0698843460945	0.710405452481	0.219710201425	0
S10400	0.0710148684278	0.702682764734	0.226302366838	0
S10401	0.0701529897383	0.70376070176	0.226086308502	0
S10406	0.0722072774069	0.702775991422	0.225016731171	0
S10408	0.0710190792043	0.702774140409	0.226206780387	0
S10409	0.0695511837103	0.708593542032	0.221855274257	0
S10418	0.0714478428395	0.705044139526	0.223508017635	0
S10431	0.0703463253698	0.706340994954	0.223312679676	0
S10438	0.0702306912337	0.706089906017	0.22367940275	0
S10439	0.0710045456545	0.702568939114	0.226426515231	0
S10441	0.0724001485046	0.699509239407	0.228090612089	0
S10442	0.0709223140277	0.70372213499	0.225355550982	0
S1046	0.0728059040359	0.701992357028	0.225201738936	0
S10478	0.0735375142825	0.69720029646	0.229262189257	0
