	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.0490401705586	0.0549688694538	0.0599172088207	0.090791454505	0.0827021204054	0.462778825443
Mix_2	0.0687339687862	0.0698685471887	0.0566238755805	0.057377426933	0.0802251384216	0.482419367395
Mix_3	0.047244983913	0.0663030892723	0.0719423766415	0.051466405609	0.112345389939	0.472428901557
Mix_4	0.0542816105908	0.0747159362086	0.0692852421081	0.0396114962374	0.109421537382	0.480917207269
Mix_5	0.09099100365	0.059325819213	0.072272443616	0.0310357894741	0.0942126483436	0.476865934792
Mix_6	0.0615988983744	0.0435373981164	0.0552706971545	0.105226199692	0.0794066834684	0.448401204343
Mix_7	0.0588159737793	0.0840834895534	0.0598195591107	0.0297440934301	0.114555467091	0.48939893825
Mix_8	0.0658380822571	0.0756831481331	0.0336947858935	0.0701023464322	0.0839345926659	0.485172851179
Mix_9	0.0660946304633	0.0693040675042	0.0615666820188	0.0508807494601	0.094466549632	0.47761653281
Mix_10	0.0736321824175	0.0516854970475	0.0560355488656	0.0749697136446	0.0880388827574	0.4626625206
Mix_11	0.0626630009388	0.0828676979727	0.058789968354	0.0394970701925	0.0911064379467	0.491509484208
Mix_12	0.0402503955373	0.0648505215558	0.0629511480806	0.077495829531	0.0986435870068	0.465278676835
Mix_13	0.078297968195	0.0672647394235	0.0573901454677	0.0451211178346	0.0970237950119	0.477844703112
Mix_14	0.0494930404081	0.083574051773	0.0761908401993	0.0208007201955	0.12655986805	0.483544186764
Mix_15	0.0528479350838	0.0866914376713	0.0522496544077	0.0437335063323	0.100658758652	0.49315375784
Mix_16	0.0639368896789	0.0759351337626	0.0452325786143	0.0568900134261	0.0946106052364	0.483327353014
Mix_17	0.0560661310407	0.0832678313808	0.0537379062565	0.0424254557783	0.103554111507	0.490596928843
Mix_18	0.0531913567881	0.0932179433563	0.0418066166572	0.0484935729523	0.0909491420932	0.500890444492
Mix_19	0.0483307357089	0.0543916832729	0.0627993960362	0.082036801917	0.097590107929	0.459687561046
Mix_20	0.0675618112113	0.0646521882267	0.0480437812501	0.0713742931875	0.0849800257633	0.473819336266
Mix_21	0.064484773203	0.0606262633025	0.0426215579456	0.0845636306899	0.0818225139445	0.471238514128
Mix_22	0.0483653297132	0.0563019651551	0.0566591599251	0.0916515581837	0.0903195339737	0.459021625695
Mix_23	0.0791166111096	0.070604848661	0.0494374278264	0.0514941448921	0.0834721297515	0.483854068207
Mix_24	0.0306001406481	0.0955149100768	0.0389575034109	0.059218145622	0.105480767459	0.496932003945
Mix_25	0.0788614349257	0.0773604449438	0.0564566476408	0.0301918408511	0.104217340455	0.484224360144
Mix_26	0.0642317869916	0.0849660214612	0.0477579899855	0.0370965802049	0.1042833233	0.493608666386
Mix_27	0.0714906097599	0.0649535462048	0.0314952508977	0.0728297180785	0.0904086419287	0.479244654259
Mix_28	0.0591206989987	0.0642800409708	0.0513563372182	0.0769355991322	0.0883572284322	0.469205120337
Mix_29	0.0703770491203	0.0813664326863	0.0475435796642	0.0383402729656	0.100671799934	0.491917414655
Mix_30	0.0622243526924	0.0729458140682	0.0776994705304	0.0253779339018	0.120692560296	0.476159693975
Mix_31	0.0667599805159	0.073741686486	0.0489542884662	0.0526713293186	0.0946719467604	0.482979940105
Mix_32	0.0513821068153	0.0898346815149	0.0393113933223	0.0582698239258	0.0914010342502	0.492830187123
Mix_33	0.0454074834296	0.080185842992	0.0493577347316	0.0606247198439	0.100535329258	0.485743154485
Mix_34	0.0656731272168	0.0471290223091	0.0536745802951	0.096570689015	0.0810670911076	0.451035940525
Mix_35	0.0609470264203	0.0743344008349	0.0654881871983	0.0418900110035	0.097919008688	0.483746306781
Mix_36	0.0652773194321	0.0700268721601	0.0581241878152	0.0497005331104	0.0994501910731	0.479821129902
Mix_37	0.0496731364407	0.0640500146173	0.0725271503337	0.053426459953	0.109736149833	0.468922386596
Mix_38	0.0423402163335	0.0686411336107	0.059685968969	0.0714965490643	0.0948997070789	0.474188668842
Mix_39	0.0727886393469	0.0607904035718	0.0323057868351	0.0947080057584	0.0707026475434	0.468656567945
Mix_40	0.0653373227113	0.0616145867732	0.0747782539889	0.0444638613078	0.108773638928	0.468010988669
Mix_41	0.0596688185422	0.0614670644162	0.0741283902969	0.056651672256	0.0975498350988	0.465082609448
Mix_42	0.0648815130023	0.086805527422	0.0401096421225	0.0415627766001	0.1048979509	0.494748285975
Mix_43	0.0702980074742	0.0526925912166	0.0593570686289	0.0723202318639	0.0903650245146	0.46218381196
Mix_44	0.047440601462	0.0637125839617	0.0656017568398	0.0730282877615	0.0918852351804	0.467754518078
Mix_45	0.0522983980294	0.0704923678034	0.0520462303509	0.0629606402633	0.106121563739	0.473618613973
Mix_46	0.0686781421051	0.0760389207246	0.0339505036635	0.0583675107916	0.0996620934806	0.483467516916
Mix_47	0.0591128981221	0.0541576452814	0.0558525592636	0.0840871293033	0.0858680446436	0.462194142092
Mix_48	0.0657939379268	0.07378598213	0.0565743162296	0.0492381477897	0.0939997584567	0.48294071064
Mix_49	0.0523577261878	0.0774280993378	0.079322285944	0.0294073501106	0.115446434257	0.480099079646
Mix_50	0.0477301623305	0.0836337208393	0.041822059275	0.056636894081	0.108977440434	0.486935087508
Mix_51	0.0637795462235	0.0757066194049	0.0499701000161	0.0532941602432	0.0907710165561	0.487176205171
Mix_52	0.0408473742027	0.0747542959841	0.0656421936997	0.0470533372509	0.118546860816	0.478800596936
Mix_53	0.0614603862291	0.0674925761653	0.0453862881521	0.0756791081354	0.0886188774917	0.471776328475
Mix_54	0.0498544897573	0.0430565764629	0.0788755252067	0.0875573700547	0.0906396343173	0.445880826654
Mix_55	0.0432162599467	0.0668876480074	0.0780470083441	0.0473031916335	0.114029830603	0.471067519
Mix_56	0.0495477908175	0.0737702838138	0.0467645139435	0.0637726759051	0.107009274898	0.47870908674
Mix_57	0.034317624124	0.0698770218976	0.0838235215671	0.053280892073	0.0993514177733	0.476168367839
Mix_58	0.0511644054937	0.0877802384954	0.0531143425399	0.0453734113325	0.104021786334	0.489493564338
Mix_59	0.0507985081378	0.0583081643012	0.0862388234521	0.0478408455571	0.111631002895	0.461590267147
Mix_60	0.0863378998034	0.0817394065392	0.0470495186331	0.0206454142714	0.114986489632	0.490229573429
Mix_61	0.0765408800663	0.0534263062533	0.0630278280876	0.06461259699	0.0866375741943	0.46418601207
Mix_62	0.0890703091516	0.0620489861281	0.0784399220022	0.0228123297821	0.102277566651	0.474019486284
Mix_63	0.0437472489312	0.0535792739872	0.0748129324874	0.0813993690252	0.0929030864412	0.455398936369
Mix_64	0.062577918414	0.0534715464241	0.0489319586733	0.093768455594	0.0834981978898	0.458626481306
Mix_65	0.0617488338363	0.0623987971481	0.0480617710594	0.0789410032346	0.088765391727	0.467728450566
Mix_66	0.0691898244316	0.0772728677798	0.0617203480696	0.031487919683	0.104409349304	0.487467246207
Mix_67	0.082645253348	0.0512581865715	0.0506788588113	0.0851649247033	0.0676273106571	0.461522616866
Mix_68	0.0543624659503	0.0785163699416	0.040366041071	0.0610502234102	0.101811749186	0.484739743985
Mix_69	0.0807109242415	0.0618309543267	0.058267436528	0.0484844129967	0.0966505642989	0.472486801152
Mix_70	0.0518506998198	0.0825096058151	0.0457487302192	0.0525388253953	0.102653168742	0.490228816076
Mix_71	0.0593870314829	0.0627669603072	0.071078461958	0.0487768031142	0.108173252307	0.47016430166
Mix_72	0.0481342645391	0.0783071151132	0.0328589530964	0.0822306548107	0.0854233688302	0.484413272225
Mix_73	0.0418928951257	0.0701553921788	0.0796817078364	0.0417284788568	0.115460547372	0.47598546346
Mix_74	0.074794669852	0.0491314232805	0.0642300396448	0.0710472152127	0.0855933346408	0.458400177036
Mix_75	0.0588747472034	0.0710349072537	0.0779720690846	0.0377504189819	0.103351088488	0.476846897436
Mix_76	0.0589163114943	0.0674442547233	0.0794587095526	0.0342233209936	0.111935245794	0.476492732506
Mix_77	0.0540754750248	0.062300939106	0.0573197758281	0.0826213850662	0.0822820695173	0.465751989792
Mix_78	0.0453066263873	0.0883476270891	0.0715083161681	0.0209439888748	0.123301116085	0.492805822239
Mix_79	0.0466849736414	0.0509069023255	0.0861177350561	0.0736629746204	0.094985867811	0.451501692599
Mix_80	0.057576932125	0.077778868678	0.0529758661209	0.0544371840866	0.0906964647344	0.486840351557
Mix_81	0.0594446149066	0.0573871006244	0.064653552445	0.0675100551173	0.0981250213565	0.463431029218
Mix_82	0.0713300060595	0.0788130684677	0.0742365856311	0.0115689063037	0.121083077458	0.48702611114
Mix_83	0.0701554512357	0.0601692573576	0.0587003085171	0.0636375870687	0.0916904720038	0.467976093363
Mix_84	0.0573667753969	0.0710364742114	0.04659579431	0.0660035440833	0.0954629650789	0.479887161476
Mix_85	0.0622447618351	0.0765223254038	0.0709758346476	0.0316978654072	0.110048360261	0.481254144898
Mix_86	0.0528203790107	0.0562887839096	0.0687012364513	0.0694889080844	0.100470521997	0.461637362692
Mix_87	0.0952519550469	0.0408554393131	0.0574953351479	0.0781170371926	0.0688427123292	0.457275551359
Mix_88	0.0699259423159	0.0839880004459	0.0319763019636	0.0492499355466	0.0957373604169	0.494897899073
Mix_89	0.0359497944616	0.0607082381061	0.0649262944396	0.0841213009017	0.0972211264433	0.463488546093
Mix_90	0.064609448294	0.066437696443	0.089679122902	0.0306866036616	0.101776866684	0.472983905413
Mix_91	0.0955439759545	0.0680340835702	0.0572043056778	0.0367411840493	0.0808040031432	0.484120702854
Mix_92	0.0635034834887	0.0610403291233	0.0711312970964	0.0610142076857	0.0853467379483	0.468823073243
Mix_93	0.0499802851593	0.0835722697383	0.0244238285755	0.0771620626711	0.0838016349722	0.492724998341
Mix_94	0.0747349968485	0.0782159792517	0.0387722624884	0.0503112962167	0.0917462701285	0.489730086271
Mix_95	0.0561913171298	0.0770310519878	0.0636672533657	0.0454024157844	0.0924991692057	0.486766427466
Mix_96	0.045403379633	0.0838365367413	0.0531888488032	0.0510654481174	0.105371593598	0.487126443385
Mix_97	0.0654844423874	0.0525287097704	0.0638155945542	0.0756341184896	0.0885038435382	0.458774995217
Mix_98	0.0749022063671	0.0484669373429	0.0199021488149	0.126729060384	0.0568264465449	0.459527537221
Mix_99	0.0306780755214	0.103935720995	0.0551386157487	0.0303345705837	0.113921987916	0.503867918742
Mix_100	0.0587904093632	0.0568276256146	0.056787647711	0.0886781851166	0.07515317384	0.463915568454
