	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	0.0976271430055	0.142866072435	0.167810915524	0.391462924625	0.112472623826	0
mix_2	0.0893341990983	0.13136070114	0.157590370281	0.42907020167	0.101111992595	0
mix_3	0.139541179194	0.217107949799	0.212131143567	0.238804540461	0.125275397988	0
mix_4	0.134618339825	0.177168448236	0.190821568067	0.302691838618	0.117698170069	0
mix_5	0.127686564316	0.182404587601	0.202115439256	0.289503140695	0.124348583652	0
mix_6	0.118790873826	0.163218793271	0.182974037939	0.34092836051	0.11276368361	0
mix_7	0.148031550134	0.187872445766	0.200803926704	0.267891299749	0.123674653719	0
mix_8	0.130801853607	0.152302489848	0.165342860438	0.369205820485	0.0968900612848	0
mix_9	0.104589277526	0.163177695447	0.183602334984	0.347687680141	0.118693919856	0
mix_10	0.152743880872	0.181052090507	0.193035300228	0.291467922945	0.1067350402	0
mix_11	0.0991038959304	0.134815887507	0.158616676952	0.416834116883	0.100843014963	0
mix_12	0.0926983463986	0.154749125891	0.174320125963	0.384301457621	0.107209855716	0
mix_13	0.157977942147	0.178488193037	0.196213384168	0.271629769847	0.123177214613	0
mix_14	0.15677149425	0.178391271655	0.194866743878	0.284737199843	0.111212956274	0
mix_15	0.15698521409	0.188640430095	0.212280953797	0.234963938209	0.139579345242	0
mix_16	0.133882657791	0.193122225234	0.199275335627	0.282684326445	0.117047822654	0
mix_17	0.19565087419	0.22166850852	0.224393359759	0.179143983855	0.123178221707	0
mix_18	0.095348746339	0.124687464934	0.152162605107	0.439677937344	0.0952882532007	0
mix_19	0.129021228071	0.15964632811	0.181773549129	0.338186732333	0.110304387507	0
mix_20	0.139868533429	0.240446028391	0.24304962223	0.18036677335	0.140285537193	0
mix_21	0.144056932898	0.190187760055	0.206143939184	0.271616080572	0.115885971892	0
mix_22	0.13504414436	0.157038933603	0.184634386514	0.323924644119	0.119221704594	0
mix_23	0.136913926288	0.165405275483	0.175333610323	0.3359190351	0.105505810603	0
mix_24	0.0855904882669	0.119417078358	0.147868363997	0.450722114907	0.101959403778	0
mix_25	0.105599036909	0.177945388618	0.185420487716	0.343703716338	0.10531503997	0
mix_26	0.12307389558	0.235342004832	0.23892353079	0.192714418187	0.150714922473	0
mix_27	0.130567772001	0.121374673692	0.153515751737	0.396440626381	0.10862819526	0
mix_28	0.150650800488	0.234150289232	0.236395063091	0.184119824301	0.137733835565	0
mix_29	0.118338999125	0.167434672768	0.185378288365	0.332023930585	0.115990972673	0
mix_30	0.123529665975	0.167886236066	0.184494910466	0.329576862756	0.114366224909	0
mix_31	0.11551607695	0.171613885672	0.180875150556	0.34197038676	0.108960648988	0
mix_32	0.128220375122	0.18287231326	0.195065161875	0.299058158184	0.118734110998	0
mix_33	0.123744606594	0.159703834799	0.174137417623	0.34959715367	0.109785900292	0
mix_34	0.0907123251155	0.140439717082	0.165313575303	0.407341356781	0.107301356621	0
mix_35	0.113025582569	0.15694737086	0.180450713595	0.354836656456	0.112099977352	0
mix_36	0.149766131493	0.1951434065	0.196072329329	0.269463364472	0.117558466934	0
mix_37	0.147398503337	0.190745324725	0.191199807815	0.284254712754	0.112348057364	0
mix_38	0.132787497638	0.22529737666	0.223596543522	0.215539454576	0.138884899056	0
mix_39	0.158825501798	0.192954303516	0.212236318199	0.234792584746	0.134458587391	0
mix_40	0.125671399749	0.164621507322	0.172643959588	0.347289073042	0.107204076435	0
mix_41	0.102038946598	0.145090414065	0.171697013396	0.382958577162	0.111603898093	0
mix_42	0.167034386019	0.221769442739	0.224407256455	0.196138763729	0.131284115686	0
mix_43	0.105012679354	0.191236440486	0.210864890014	0.287073445319	0.131196424024	0
mix_44	0.116042085596	0.201594549992	0.205193273761	0.276114068029	0.128857050586	0
mix_45	0.0965269562343	0.188907115512	0.193672810413	0.333328205745	0.107478990389	0
mix_46	0.136439319579	0.205259944534	0.223989560596	0.236362177229	0.131215770457	0
mix_47	0.126702346591	0.163539147504	0.17647541861	0.345504007563	0.105411483229	0
mix_48	0.128021828608	0.114141579064	0.148291924592	0.410112813569	0.108838086079	0
mix_49	0.127864645206	0.144048609911	0.172266981636	0.358868636976	0.113016488706	0
mix_50	0.151445834148	0.216835216938	0.213640206692	0.235806063146	0.116161955457	0
mix_51	0.127482372653	0.134017986166	0.157837751482	0.382476027252	0.110668540871	0
mix_52	0.169231190993	0.207991307521	0.215324267033	0.210593554145	0.133814210528	0
mix_53	0.128257440513	0.142061926893	0.165455999308	0.368757522734	0.109957542572	0
mix_54	0.165189210671	0.213294463793	0.225644372047	0.208463389813	0.126365096877	0
mix_55	0.126316815302	0.147028365134	0.169158458379	0.362525943062	0.110027615237	0
mix_56	0.126067659733	0.197960774027	0.199374473952	0.2939701786	0.107610271465	0
mix_57	0.0941744002326	0.166501167922	0.180458828985	0.359400131839	0.115593636961	0
mix_58	0.129820346979	0.186625179305	0.201932492621	0.28323354704	0.124838700975	0
