	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.214812453015	0.236441000415	0.123760294474	0.057894156161	0.159982030475	0.20711006546	0
B	0.21460883324	0.236632895477	0.123795387969	0.0576963558329	0.160530322051	0.20673620543	0
C	0.212914298614	0.211879733055	0.126642210079	0.0540664161386	0.176792367149	0.217704974964	0
D	0.212367056896	0.210784861286	0.126795621422	0.0539801914233	0.176566351367	0.219505917606	0
E	0.210551297332	0.218906191286	0.128721409141	0.0556698119996	0.167910339587	0.218240950655	0
F	0.212818042936	0.228642232952	0.134199508658	0.0576142124249	0.156105501946	0.210620501083	0
G	0.213878906783	0.247366447925	0.120473457541	0.0636519708578	0.153743563515	0.200885653379	0
H	0.213316675051	0.258382825471	0.118805542654	0.0600037413813	0.150406908115	0.199084307328	0
I	0.214529517195	0.259073563005	0.118697920379	0.0602712192743	0.150608611878	0.196819168268	0
J	0.213811227776	0.201908632552	0.127550379616	0.0527235733606	0.181719049767	0.222287136927	0
K	0.214568497704	0.199266278649	0.132168511563	0.0525668889396	0.174873059	0.226556764145	0
L	0.209765828941	0.209546656179	0.126813789116	0.0545967692411	0.176208237101	0.223068719422	0
