	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.00641537046567	0.0506783911806	0.176874590117	0	0	0.116058214983	0.0168616415568	0.391651484697
mix_2	0.0398118802079	0.0240585397966	0.126605667636	0	0	0.104124140793	0.04569074808	0.48632971995
mix_3	0.0235643768703	0.0357191058938	0.0617714068811	0	0	0.255953287771	0.0439184640759	0.423577129805
mix_4	0.0316839831427	0.0898043918493	0.121206422815	0	0	0.109092731788	0.024353925823	0.454215004887
mix_5	0.0305848931702	0.0636584191251	0.123526017376	0	0	0.164326094749	0.0278985695683	0.419601740899
mix_6	0.0304178261637	0.0802640178679	0.134743781046	0	0	0.112096495111	0.012144164615	0.448218370582
mix_7	0.0320115498394	0.0564757702159	0.104955798862	0	0	0.191637626639	0.0431914913343	0.408893177418
mix_8	0.0114861749321	0.0325663711077	0.135380285391	0	0	0.164632323454	0.0378348895622	0.433132932243
mix_9	0.0370606954778	0.0937675921087	0.145227511989	0	0	0.0770770754703	0.00551020236561	0.444062532806
mix_10	0.0454466105667	0.0914854239513	0.053173902321	0	0	0.142571157287	0.0424927764459	0.502378311155
mix_11	0.0253072977982	0.0616261309826	0.160768687072	0	0	0.0664734714266	0.0316720413924	0.429009039501
mix_12	0.0124655698448	0.0805473221739	0.119160222683	0	0	0.165095393996	0.0224834236809	0.431503290879
mix_13	0.00594838356223	0.122566688053	0.0891230707728	0	0	0.125020945157	0.00572727811201	0.519707780713
mix_14	0.0361884342555	0.110736872396	0.111817564479	0	0	0.0902954191611	0.0198179057516	0.461424618267
mix_15	0.0216177545558	0.0646058577687	0.12623353915	0	0	0.152936364792	0.0172676286356	0.442181981073
mix_16	0.04259096078	0.0443218184087	0.0640580962474	0	0	0.269495803856	0.023341302814	0.454985814508
mix_17	0.0348423270042	0.0518188351856	0.0412208781521	0	0	0.2701691242	0.0417312611564	0.486090927274
mix_18	0.0352956383983	0.123786229564	0.0174342568956	0	0	0.125481652272	0.0442183015345	0.591152417
mix_19	0.00638003431623	0.041383382632	0.0836324321968	0	0	0.250285319001	0.041767919157	0.436843454293
mix_20	0.0355189727377	0.0754030881563	0.122779898373	0	0	0.0898711492347	0.0102231397554	0.501917043743
mix_21	0.0235921587829	0.103140056565	0.0458131743497	0	0	0.238851762847	0.0138532602038	0.512690667063
mix_22	0.0185145838769	0.0861803606758	0.135328167537	0	0	0.113969630263	0.0384625632625	0.392811443076
mix_23	0.0306698472195	0.0928549052085	0.124932891763	0	0	0.075976350989	0.0125949671511	0.468348757349
mix_24	0.0312229546978	0.0780653256809	0.107786608822	0	0	0.171423188287	0.0145275200418	0.458931093913
mix_25	0.0330634950177	0.0989291458711	0.126134152494	0	0	0.0790049283764	0.00245090227188	0.471773568098
mix_26	0.0156961709029	0.0944142477965	0.0289129867553	0	0	0.254976408979	0.0364626959489	0.485601937966
mix_27	0.0239847749425	0.0723574883764	0.150339842193	0	0	0.0858071738381	0.0109469160674	0.435376492831
mix_28	0.0341306183804	0.0819916262187	0.121059859485	0	0	0.127631180091	0.00917279364917	0.456581775633
mix_29	0.0169561101811	0.0546515998194	0.152503239035	0	0	0.096539275161	0.0349174287114	0.427238655772
mix_30	0.0277247184176	0.101669513331	0.124361448079	0	0	0.102750431328	0.0150128588982	0.45343718751
mix_31	0.0165472522989	0.0913111966951	0.107014473841	0	0	0.127193736484	0.0345618028922	0.468762419967
mix_32	0.0418907024353	0.106533470045	0.101875557554	0	0	0.0693967914313	0.0371643244777	0.467589437948
mix_33	0.0228034535626	0.10997852101	0.0737984351118	0	0	0.16258058312	0.00906105492974	0.504653692184
mix_34	0.021467083778	0.0590163875883	0.019430707767	0	0	0.215041772336	0.0813600983733	0.511949064391
mix_35	0.0147726012483	0.0787294030247	0.129353609105	0	0	0.135745677593	0.0350107113447	0.426862147219
mix_36	0.0202862554873	0.0745889424773	0.108911054548	0	0	0.146702181457	0.0390547590043	0.431859101227
mix_37	0.0211387728673	0.0447140507986	0.0889435254629	0	0	0.241152160295	0.0302157752335	0.469069047801
mix_38	0.0228214842949	0.0428296136328	0.112451392975	0	0	0.194745544428	0.0215755438845	0.417570259943
mix_39	0.0273759441107	0.0704620404377	0.131779708396	0	0	0.110433967309	0.0241338774579	0.459798103357
mix_40	0.0149103763444	0.0938793313408	0.0955360283377	0	0	0.152507906255	0.044302396419	0.440692214413
mix_41	0.0222893271898	0.0788753100291	0.0477382939228	0	0	0.221230608542	0.0376137039403	0.490785314268
mix_42	0.0534960339273	0.144622977542	0.0634443738584	0	0	0.0539339016449	0.0520036649655	0.529174712779
mix_43	0.0330800321215	0.090872930532	0.0246123084025	0	0	0.195591413261	0.0388944508309	0.535740176035
mix_44	0.0391986465771	0.060170200516	0.126333399591	0	0	0.0717912495009	0.0177238542942	0.492437439826
mix_45	0.0264611063693	0.0465275981163	0.125427916118	0	0	0.136455278964	0.0591522172188	0.44948388109
