	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.0142291425352	0.653423385356	0.119682212622	0	0	0.0228439041236	0.0262963001027	0.107077182981
mix_2	0.0173556299703	0.688073706396	0.0900392137154	0	0	0.00550711302511	0.0354094878891	0.121451181087
mix_3	0.0191409280856	0.7105239028	0.0481936493612	0	0	0.0329279926333	0.0461759579214	0.106508762972
mix_4	0.0125788360256	0.747753920974	0.077256273731	0	0	0.00441266862194	0.0248083727076	0.0974813730544
mix_5	0.0137655169186	0.710613950019	0.084961811436	0	0	0.0119609137284	0.0320006079609	0.11014191036
mix_6	0.0140521588064	0.729910083299	0.0864950901767	0	0	0.00323590658069	0.0197502311144	0.106041774017
mix_7	0.0172899556592	0.704265746828	0.0812550133259	0	0	0.0155688982094	0.0415829993792	0.108227352946
mix_8	0.0139885797448	0.696191256834	0.0924804277899	0	0	0.00961304323989	0.0387454635001	0.104572378901
mix_9	0.0138151843724	0.724626490583	0.091492588019	0	0	0.00756503755923	0.01238322159	0.106919248987
mix_10	0.0170783029835	0.764170804174	0.0359164068035	0	0	0.0298549557239	0.0353732110416	0.0964323125407
mix_11	0.0181850978813	0.643877308084	0.10698539937	0	0	0.0250718223656	0.0292474694113	0.127272489266
mix_12	0.01315512926	0.745241626031	0.0743403014434	0	0	0.0105826505379	0.0289464319129	0.0903174753839
mix_13	0.00910496903944	0.79447018043	0.0517769936994	0	0	0.0144271977019	0.0185649580114	0.0833222071602
mix_14	0.0160921857588	0.735235448729	0.0684239519938	0	0	0.0217689787607	0.0225234171945	0.103986388992
mix_15	0.0132215469673	0.724860903098	0.0846947826416	0	0	0.00848488447822	0.0235119607276	0.10481324891
mix_16	0.0189216099474	0.734367930653	0.0466845872561	0	0	0.0162007793501	0.0363758617502	0.123296026225
mix_17	0.0174737787339	0.784855399208	0.0317191966422	0	0	0.0114191816769	0.0465913041096	0.0998674098193
mix_18	0.0147855409059	0.814799496373	0.0122497451681	0	0	0.0249803799183	0.0396738738934	0.0847285667852
mix_19	0.0159325398969	0.720214690561	0.0684590798048	0	0	0.0302234600942	0.0433473985396	0.0918629933673
mix_20	0.0142850837585	0.756502194538	0.0711985166114	0	0	0.00502980586603	0.01449035604	0.106631536966
mix_21	0.0139287445126	0.82602077416	0.0266893469477	0	0	0.00767584691487	0.0286237137588	0.0848499927855
mix_22	0.0132343801718	0.682043085265	0.0880870903538	0	0	0.027649566717	0.0392262279517	0.0980810995499
mix_23	0.0131640550184	0.730583254735	0.0788384651283	0	0	0.0169101898867	0.01954420701	0.101991074185
mix_24	0.0114610558868	0.751971439445	0.071378448961	0	0	0.00754778819144	0.0245376524054	0.101518168214
mix_25	0.0148178921562	0.747248204795	0.0766993168319	0	0	0.0070054546926	0.0132860010307	0.102549097974
mix_26	0.0152428785481	0.80516333778	0.021411771968	0	0	0.0299685148456	0.039924657192	0.0786456617505
mix_27	0.0145397344872	0.695636305469	0.100150633919	0	0	0.0184303814544	0.0166638755621	0.107668221133
mix_28	0.0131331714034	0.744843377955	0.0829992128866	0	0	0.00408390300598	0.0200488645624	0.102307283088
mix_29	0.0146841404618	0.669258118277	0.104605559291	0	0	0.0186079372302	0.0327742733144	0.111426081876
mix_30	0.0107534461379	0.74872973861	0.0768484466215	0	0	0.00942125190047	0.0185952358859	0.0991130497316
mix_31	0.0131212990034	0.745512675472	0.0667791150214	0	0	0.0195167029473	0.0317299683917	0.0923053147071
mix_32	0.0162617202574	0.727759409415	0.0676688440686	0	0	0.0270515411162	0.026380971506	0.0967820408553
mix_33	0.013612303075	0.790013283389	0.040830167832	0	0	0.0304712373704	0.0213900641413	0.083497521073
mix_34	0.0217847632011	0.751763808092	0.0169656750298	0	0	0.040370162707	0.0627205930035	0.0971123004071
mix_35	0.0110429199841	0.735819089702	0.0814311152965	0	0	0.0124987209162	0.0323530647888	0.0885957304899
mix_36	0.0147750190918	0.7054127274	0.0793374510939	0	0	0.023269894182	0.0394964975655	0.0997263094061
mix_37	0.0141237413792	0.74602957649	0.0628174801948	0	0	0.0139270552023	0.0370165044164	0.103575728407
mix_38	0.0157095612551	0.703394878007	0.0803085121369	0	0	0.0232145932292	0.0304219627114	0.109014056901
mix_39	0.0131975939583	0.735248598662	0.0834969672408	0	0	0.00437755755654	0.0252896807708	0.103661056766
mix_40	0.0127477470881	0.741318646073	0.0576971784766	0	0	0.0243453601752	0.0372548748098	0.0900860130233
mix_41	0.0198223615654	0.764782461235	0.0297850292901	0	0	0.0390033385954	0.0449857774907	0.0856603681236
mix_42	0.0141757161449	0.806197183773	0.0349605733668	0	0	0.00598300140088	0.0302887890545	0.0963672049237
mix_43	0.0162049561816	0.78282961397	0.0179317000379	0	0	0.0325417147569	0.0415010622618	0.0998976357517
mix_44	0.0169253761082	0.711027174206	0.074948560676	0	0	0.0180265940264	0.0247260495499	0.116988515667
mix_45	0.0123886126431	0.70411485872	0.079072579006	0	0	0.0128059529125	0.0400309271595	0.111679816986
mix_46	0.0169737202722	0.740644997213	0.050450672962	0	0	0.0432149666963	0.0349425235232	0.0862810655987
mix_47	0.0206050363074	0.793755619472	0.0140373666616	0	0	0.0132145847142	0.0337993102805	0.106253618219
mix_48	0.0157293639739	0.780835105394	0.0344469256116	0	0	0.0249007930813	0.0338106363553	0.0959676767826
mix_49	0.024866537672	0.667601927165	0.0739087757469	0	0	0.0473343442935	0.046212096586	0.0938471162771
mix_50	0.0127285497988	0.736411170278	0.084983455726	0	0	0.00719363663351	0.0260695845308	0.098575384767
mix_51	0.0172750281232	0.793426698014	0.01706760638	0	0	0.0274445106215	0.0436442818979	0.0924577599172
mix_52	0.0166008110873	0.757113526201	0.0400700425605	0	0	0.0297106767006	0.0399857320831	0.0982447930687
mix_53	0.0197420070528	0.745388295921	0.0362162550907	0	0	0.0315373303693	0.0343930292337	0.116473308406
mix_54	0.0154677868767	0.754568849783	0.0638008435319	0	0	0.0179058556305	0.0220645293297	0.0990881373723
mix_55	0.0142444672796	0.829132698302	0.0222318547503	0	0	0.0178723676167	0.0297620567045	0.0735451345424
mix_56	0.0138643297556	0.762012224987	0.0664780928529	0	0	0.0227216242927	0.0210696219439	0.0872251491142
mix_57	0.0141139068747	0.715121253645	0.0926916934014	0	0	0.00984183431692	0.021440701217	0.103324122524
mix_58	0.0122615754677	0.733538796271	0.0827900506071	0	0	0.0120418936663	0.0215710541266	0.10081735161
mix_59	0.0224541812516	0.717111924423	0.0374621814928	0	0	0.0355802543293	0.0546238730522	0.116815869023
mix_60	0.0109906330336	0.785248995065	0.0419666605884	0	0	0.023466781159	0.020795504835	0.0959377519575
mix_61	0.0139039774827	0.737882372392	0.0686423622854	0	0	0.0162444104867	0.0310047367463	0.105085421845
mix_62	0.0173031934332	0.721225761729	0.0667917540542	0	0	0.0337739433411	0.0363375304318	0.0971631070159
mix_63	0.0119302771231	0.746060233412	0.0793507493486	0	0	0.0121128275908	0.0208219261144	0.0947614269117
mix_64	0.0216562799669	0.750796334465	0.0163925449302	0	0	0.00980032770994	0.0635805410143	0.129554710382
mix_65	0.0191236707204	0.738204011143	0.0454590143552	0	0	0.0338185029433	0.0387152565454	0.0975491486564
mix_66	0.0181166674373	0.678157954214	0.0716751421372	0	0	0.0321649923673	0.047985389097	0.123177014083
mix_67	0.0183089916054	0.654031763641	0.105764763953	0	0	0.0262599339347	0.0206418794782	0.127034928703
mix_68	0.0118345789772	0.774897744029	0.0503148160917	0	0	0.0116623411557	0.0321467919375	0.0958433846269
mix_69	0.0146081788185	0.758741435639	0.06278218697	0	0	0.00320250537196	0.0216687528822	0.109720767581
mix_70	0.0129742170983	0.808439803184	0.0286002954013	0	0	0.0215274712604	0.0378139613324	0.0790786160103
mix_71	0.0152014436742	0.728746440745	0.0701943149348	0	0	0.0204305594763	0.0319846827239	0.1001185885
mix_72	0.0200040926057	0.719946594831	0.0644701806521	0	0	0.0334324245794	0.0270996877446	0.107611794003
mix_73	0.0142843276511	0.811993311461	0.0325258994633	0	0	0.011183010846	0.0268386698394	0.0881908556217
mix_74	0.0106528207488	0.753311574807	0.0751098481534	0	0	0.0121017561791	0.0153759386021	0.0978427094459
mix_75	0.0154309631642	0.774256959569	0.041383715937	0	0	0.0213190177921	0.0307553250572	0.0998564109926
mix_76	0.0141010027019	0.659932759119	0.103841706289	0	0	0.0302724995136	0.037066309734	0.107989013829
mix_77	0.0144471826875	0.736430962323	0.0681918653531	0	0	0.0146070992357	0.0302321802336	0.106117113123
mix_78	0.0156062862901	0.772673849435	0.052270205596	0	0	0.0192773975584	0.0232407832429	0.09590204893
