"AbsCibersort" "Cibersort" "DCQ" "Decon" "dtangle" "EPIC" "GEDIT" "Savant"
"10XImmune" 0.162446326994574 0.190303794856876 0.532643542482171 0.649635381766458 0.75860143560771 0.645941550307103 0.887246329253014 0.364544760394339
"BlueCode" 0.611771663675651 0.594956001076791 0.242306337407239 0.21834389355134 0.677987828133944 -0.225213013218645 0.913337231076022 0.608317069564615
"BluePrint-Blood" 0.0442395730313505 0.0465834880855215 0.0153664483216084 NA 0.469075541221624 -0.103115673193876 0.752362197152359 0.247401463970193
"EPIC-BCIC" -0.186463038609975 -0.186819868740396 0.466067646599239 NA 0.664136853176287 0.74862477026541 0.937482909769667 0.303304037671382
"EPIC-TIC" NA NA -0.268916967043667 NA 0.251424544984556 0.854030333481996 0.431469457280918 -0.100527909229221
"HPCA-Blood" 0.424489311614645 0.41928890112711 0.329625601418581 0.231921718708672 0.476554883782032 0.142250654826232 0.562797612746573 -0.0289505580664004
"HPCA-Stromal" 0.236351782980395 0.280057054506491 0.329625601418541 0.0857542294573036 0.201327233863337 -0.0938323693713111 0.142797426809187 -0.0289505580664004
"ImmunoStates" 0.811994135303826 0.828639793364777 0.412562923423412 0.789777684075064 0.951730291433796 0.251877905032985 0.610430255504203 0.580941380460857
"LM22" 0.595863792183818 0.689142267251786 0.448404435465655 0.600293458051224 0.963577150143147 0.497618328451926 0.751819929426326 0.794594482734351
"SkinSignatures" 0.230475945314646 0.578781075197296 -0.048578638180284 0.332118324031764 0.831196325253149 0.237460584380214 0.404640163597556 0.305658203911404
