	B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
A	0.128559645364061	0.0918746766563045	0.169049786971761	0.10268955260115	0	0.11845469849707	0	0.115514232241241	0.153312901875259	0.120544505793153
B	0.12657820521738	0.0965885606590134	0.168458523495014	0.101925203850286	0	0.119164174533804	0	0.11878376286518	0.149930211518146	0.118571357861177
C	0.110802267856894	0.0929958982050503	0.138236622541605	0.0934465507707742	0	0.10267152008263	0	0.165593187654007	0.167653176196967	0.128600776692072
D	0.117395537618922	0.0851541080327626	0.138272707508355	0.0950995405622072	0	0.101948717054493	0	0.16373876793398	0.170082728598707	0.128307892690572
E	0.112844199897452	0.0875476889599388	0.148595603656267	0.100539553050875	0	0.109555935190261	0	0.115041421825554	0.161550546899355	0.164325050520296
F	0.11645375146763	0.0927331768689715	0.157250602433498	0.144585237914554	0	0.117495360417749	0	0.109598719893801	0.145788949388714	0.116094201615083
G	0.127156490687659	0.0993653310811287	0.17274190630666	0.100589220591527	0	0.145225233035383	0	0.118706179906094	0.144929661859861	0.0912859765316872
H	0.12202112350822	0.102307214101594	0.207564152944688	0.083658056363726	0	0.123562652685531	0	0.113521426073576	0.153857137344756	0.0935082369779089
I	0.119243142221642	0.104765808628842	0.209079367705902	0.0840534048268676	0	0.122529515446358	0	0.115687633855554	0.151724020116446	0.0929171071983887
J	0.116370573442306	0.0982271883565084	0.113598711190576	0.0935344104800226	0	0.091116036621292	0	0.210657468808436	0.17589490933675	0.10060070176411
K	0.112885273809294	0.0994446574477022	0.105109698593977	0.0981583401469635	0	0.0943639106922096	0	0.124495164948239	0.175718945346125	0.189824009015489
L	0.0916191119050103	0.10324282668421	0.137386728817852	0.0979707629751033	0	0.0953763510766568	0	0.21188597280414	0.168646141475032	0.0938721042619946
