	B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
S10001	0	0.371823698370934	0	0.0434014867488361	0.27882248213066	0.305952332749569
S10006	0	0.363732859653401	0	0.056436230267002	0.279904783723702	0.299926126355895
S1001	0	0.362658185609638	0	0.0587755968085666	0.273328809907904	0.305237407673891
S10010	0	0.364790396564599	0	0.0476864987433962	0.269021976111417	0.318501128580588
S10011	0	0.374135894164136	0	0.054845755278699	0.26739144992519	0.303626900631975
S10014	0	0.364992677427449	0	0.053782107962238	0.276477730582745	0.304747484027568
S10026	0	0.371459613924462	0	0.0566074393541371	0.266765463922093	0.305167482799308
S10032	0	0.361372487362272	0	0.0563656353006025	0.268835058479155	0.31342681885797
S10036	0	0.366738976689823	0	0.0548124519962557	0.277986985229982	0.300461586083939
S10042	0	0.366710992089843	0	0.057928703788244	0.269001934443428	0.306358369678485
S10044	0	0.373052309147422	0	0.0546061011463715	0.26836037985873	0.303981209847477
S10049	0	0.373433917305955	0	0.052029251021517	0.272586687286382	0.301950144386146
S10057	0	0.36743072229035	0	0.0551454501348376	0.285832276082853	0.291591551491959
S10062	0	0.367989835212558	0	0.0528314339383615	0.271885216122404	0.307293514726676
S10066	0	0.367675478950909	0	0.0441992394363008	0.272261577008482	0.315863704604308
S10067	0	0.380360827176509	0	0.0526359726286604	0.271026955028003	0.295976245166827
S1007	0	0.364702650405802	0	0.0560989905850875	0.277962304190318	0.301236054818793
S10073	0	0.38147936022102	0	0.0541399309683831	0.26500588212756	0.299374826683038
S10077	0	0.365871876457541	0	0.0510290558467925	0.274708942129153	0.308390125566513
S10080	0	0.3629979910309	0	0.0574928352008938	0.270122784639211	0.309386389128995
S10082	0	0.379204262372359	0	0.0529973712797452	0.267699469747159	0.300098896600736
S10087	0	0.375038912054806	0	0.0479987590054775	0.272424194850133	0.304538134089584
S10089	0	0.374695581309356	0	0.0439578446527267	0.277393747573813	0.303952826464105
S1009	0	0.378899118359522	0	0.0639149375450717	0.26633186445365	0.290854079641757
S10090	0	0.377082471952977	0	0.0366063643759058	0.286074490439174	0.300236673231943
S10093	0	0.350884500195648	0	0.0683088480092968	0.279029791666739	0.301776860128316
S10094	0	0.366576607768173	0	0.0541952277996373	0.268279917129094	0.310948247303096
S1010	0	0.369595618540685	0	0.0526259620914343	0.272972296901038	0.304806122466843
S10111	0	0.374837974903628	0	0.0586572815313897	0.266622128300682	0.2998826152643
S10116	0	0.380428154491953	0	0.055266403797144	0.272972642180329	0.291332799530574
S10119	0	0.377490953075869	0	0.0580850670972069	0.271137365434065	0.293286614392859
S10121	0	0.377435625772799	0	0.0463066861188576	0.273035035912643	0.303222652195701
S10130	0	0.368847557227227	0	0.0494804603531022	0.275889457827028	0.305782524592643
S10140	0	0.356854250677208	0	0.0613960877349489	0.264918938559223	0.316830723028619
S10142	0	0.371059353356891	0	0.0530491059537121	0.275292625525085	0.300598915164311
S10150	0	0.354446774849002	0	0.0486083914366643	0.275963956809642	0.320980876904691
S10155	0	0.375825287629078	0	0.0545446069964259	0.269048672223791	0.300581433150706
S1016	0	0.368405230170649	0	0.0456966097588531	0.28030145933313	0.305596700737367
S10163	0	0.363750106399231	0	0.0575607689109847	0.269900210756372	0.308788913933412
S10167	0	0.364762637266206	0	0.0636846165327295	0.27196374389244	0.299589002308625
S10168	0	0.381153686538421	0	0.0524703747440491	0.271669971155089	0.294705967562441
S10173	0	0.383544618855774	0	0.0581788336740897	0.267470342699239	0.290806204770897
S10175	0	0.369922091422941	0	0.0517011639616627	0.271206362098821	0.307170382516575
S10179	0	0.366675943604629	0	0.0670729116861407	0.268075729661434	0.298175415047796
S10186	0	0.376851107411381	0	0.0620657556327153	0.271911592805381	0.289171544150522
S1019	0	0.375338723548963	0	0.0498555263370028	0.276116431713061	0.298689318400973
S10190	0	0.376510322372689	0	0.0573735937037094	0.267657004661596	0.298459079262006
S10195	0	0.359999552122696	0	0.0550700572317948	0.274818677833401	0.310111712812108
S10196	0	0.369331565100468	0	0.0563927605659117	0.270863287328522	0.303412387005099
S10200	0	0.365166992693644	0	0.0522563342976414	0.272630598699229	0.309946074309485
S10201	0	0.356793097377254	0	0.0388915642356987	0.281892727296893	0.322422611090155
S10202	0	0.369536896334563	0	0.0512376925251549	0.271348911042125	0.307876500098158
S10205	0	0.368948026094183	0	0.0523790748072117	0.271425528133552	0.307247370965053
S10211	0	0.354350355392547	0	0.0651702307878396	0.278906197804436	0.301573216015177
S10221	0	0.36465097268406	0	0.0651350962583012	0.269452183680996	0.300761747376642
S10222	0	0.360552844120025	0	0.0549651004971807	0.277010537958885	0.307471517423909
S10226	0	0.370912739767775	0	0.047748316356714	0.272346910150063	0.308992033725448
S10227	0	0.363831812322132	0	0.0526271260878276	0.273048707469258	0.310492354120783
S10228	0	0.373113180347616	0	0.0496471061615644	0.272248198984878	0.304991514505942
S10232	0	0.376795154336259	0	0.0635463967533548	0.274082342483693	0.285576106426692
S10248	0	0.376146176064488	0	0.0563666287190126	0.271675122681436	0.295812072535063
S10249	0	0.350058598881528	0	0.0555858949890314	0.268457118914407	0.325898387215034
S1025	0	0.374442995264689	0	0.0528950030812938	0.271911397669033	0.300750603984984
S10266	0	0.364232875073354	0	0.0478026745813311	0.275529626668012	0.312434823677303
S10269	0	0.372038636911119	0	0.0415830112417819	0.280005799225206	0.306372552621893
S10272	0	0.366440800487112	0	0.0474751585420892	0.280468996313217	0.305615044657582
S10273	0	0.370037488732578	0	0.0494651270744764	0.27292251346649	0.307574870726456
S10274	0	0.366405732873231	0	0.0582101722784354	0.272918153703442	0.302465941144891
S1028	0	0.371476959533207	0	0.0595220994979942	0.265816723407094	0.303184217561705
S10280	0	0.366116594790214	0	0.0495198234770625	0.268668547840172	0.315695033892551
S10283	0	0.376537320350883	0	0.0591222504086847	0.265520019202399	0.298820410038034
S1029	0	0.369161974978585	0	0.0544972554986878	0.274675792160634	0.301664977362093
S10292	0	0.380495964802941	0	0.0553743403322153	0.274338020059057	0.289791674805787
S10294	0	0.371463015932504	0	0.0647610550754341	0.268814697699084	0.294961231292977
S10302	0	0.372149471551766	0	0.0574289258148582	0.270107913648675	0.3003136889847
S10303	0	0.373482424245122	0	0.0515752152663902	0.272088276584763	0.302854083903724
S10323	0	0.363342207040768	0	0.0537101368156374	0.276039414608567	0.306908241535028
S10326	0	0.363547657935371	0	0.0512091711711768	0.275058697837518	0.310184473055935
S10328	0	0.380956858538263	0	0.0477006658584487	0.271573419967644	0.299769055635644
S10329	0	0.373420992896246	0	0.0529517893270884	0.271950143557469	0.301677074219197
S10336	0	0.36786182893165	0	0.0481524025867828	0.276193871578473	0.307791896903094
S10340	0	0.377261111760642	0	0.0500882038312642	0.271913861460644	0.30073682294745
S10347	0	0.366606224985577	0	0.0534075233167566	0.281941641636256	0.298044610061411
S10353	0	0.373067516689706	0	0.049175990830669	0.272984061843141	0.304772430636484
S10356	0	0.373434344312319	0	0.0496232714031608	0.276632440935948	0.300309943348572
S10358	0	0.364750045737251	0	0.0502532488733695	0.273073125500524	0.311923579888856
S10365	0	0.367845592332458	0	0.0471659761460541	0.273829892834803	0.311158538686685
S1037	0	0.386148871708646	0	0.0550998669556339	0.270504823301935	0.288246438033785
S10373	0	0.374616513768205	0	0.0554821198390721	0.271550723454372	0.298350642938351
S10374	0	0.363876025963759	0	0.0532531966188763	0.284951979663118	0.297918797754247
S10375	0	0.363950026252346	0	0.0616818659103281	0.268673549532679	0.305694558304647
S10377	0	0.357371081091849	0	0.0750914747186635	0.276955386353866	0.290582057835622
S10378	0	0.377838526173237	0	0.0592403772992232	0.263751744887553	0.299169351639986
S10390	0	0.369770867117599	0	0.0514071459131492	0.284711358484131	0.294110628485121
S10391	0	0.354067286771242	0	0.0608328854074717	0.28243212037483	0.302667707446456
S10393	0	0.366081535042565	0	0.0655641079014794	0.272367010845339	0.295987346210617
S10400	0	0.362303417441609	0	0.0562073473241494	0.271442971489799	0.310046263744442
S10401	0	0.36383158630909	0	0.0538978413137327	0.274591738433553	0.307678833943624
S10406	0	0.358967281517059	0	0.0493466311342599	0.280610709370122	0.311075377978559
S10408	0	0.365091638536033	0	0.0523525999524308	0.273035963935938	0.309519797575598
S10409	0	0.367382303730534	0	0.0687516920675912	0.267298782023311	0.296567222178563
S10418	0	0.35833026665184	0	0.0429049617622695	0.293263819034233	0.305500952551657
S10431	0	0.372682038701019	0	0.0482318645715163	0.276085244668951	0.303000852058514
S10438	0	0.365545369921876	0	0.0609883641292965	0.273114860895787	0.30035140505304
S10439	0	0.361311477674391	0	0.0627263617279411	0.265580482431679	0.310381678165989
S10441	0	0.354338068113563	0	0.0473822604619586	0.274969879451859	0.323309791972619
S10442	0	0.365614730206396	0	0.0536183483543202	0.271822292329603	0.308944629109681
S1046	0	0.366194023655434	0	0.0500084469174665	0.270459511372029	0.31333801805507
S10478	0	0.351460783103582	0	0.0439551000252612	0.277206386633705	0.327377730237452
S10480	0	0.376005281982071	0	0.0575315079035025	0.278769931049776	0.287693279064651
S10484	0	0.36036965574903	0	0.052604987953735	0.275115109118641	0.311910247178594
S10492	0	0.359984014972027	0	0.0760351019622203	0.264949642753835	0.299031240311917
S10496	0	0.374817539891398	0	0.0560015019231817	0.26946404819122	0.2997169099942
S10510	0	0.362389448345446	0	0.0547026613793511	0.282577552915323	0.30033033735988
S10513	0	0.365598068066436	0	0.0512402115865318	0.270397175123594	0.312764545223439
S10516	0	0.366580761553786	0	0.0490369359870315	0.276862109988526	0.307520192470656
S10534	0	0.373811979537171	0	0.0526227034687974	0.271584795411079	0.301980521582953
S10535	0	0.37583723349446	0	0.0596437804558721	0.271876425970583	0.292642560079085
S10537	0	0.365277962611559	0	0.0537398146778265	0.267249317160419	0.313732905550195
S1054	0	0.36787797668718	0	0.0541415377911089	0.280007772449079	0.297972713072632
S10543	0	0.374634677443638	0	0.0471758505844048	0.276460541210448	0.301728930761509
S10546	0	0.359124678081373	0	0.0603836787821362	0.278689248033536	0.301802395102955
S1055	0	0.356615787400509	0	0.0477638239505753	0.278746247321458	0.316874141327458
S10551	0	0.369519850860862	0	0.0492312742853295	0.274799360016059	0.30644951483775
S10552	0	0.356878063824882	0	0.046515269485496	0.284475804805346	0.312130861884276
