	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
S13904	0.729306532831321	0	0.0665446887657091	0	0	0	0.20414877840297	0	0
S13920	0.743142599472621	0	0.0574164057003186	0	0	0	0.199440994827061	0	0
S13925	0.733554538669986	0	0.0661752895303223	0	0	0	0.200270171799692	0	0
S13926	0.719569561929169	0	0.0764473161628247	0	0	0	0.203983121908006	0	0
S1393	0.716437966470395	0	0.0842521932942005	0	0	0	0.199309840235404	0	0
S13936	0.725281005160214	0	0.0817100617293051	0	0	0	0.19300893311048	0	0
S13938	0.736652673284814	0	0.0640695456852854	0	0	0	0.199277781029901	0	0
S13948	0.719539683667004	0	0.0724923428961283	0	0	0	0.207967973436867	0	0
S13952	0.72800940588173	0	0.0751267014562703	0	0	0	0.196863892662	0	0
S13955	0.736135058407855	0	0.0639823888929887	0	0	0	0.199882552699156	0	0
S13956	0.749679285862792	0	0.0440019765443871	0	0	0	0.20631873759282	0	0
S13959	0.720620768081998	0	0.0795896084043028	0	0	0	0.1997896235137	0	0
S13972	0.726771569742325	0	0.0682217608900282	0	0	0	0.205006669367647	0	0
S13980	0.749072226512465	0	0.0531986071982229	0	0	0	0.197729166289312	0	0
S13982	0.730310869765828	0	0.0632295734266561	0	0	0	0.206459556807516	0	0
S13988	0.729952341303831	0	0.0725092939908224	0	0	0	0.197538364705347	0	0
S14012	0.738997420191068	0	0.0697276055140528	0	0	0	0.191274974294879	0	0
S14014	0.717967176305425	0	0.0807042216514905	0	0	0	0.201328602043085	0	0
S14022	0.723106431369032	0	0.0774994591985621	0	0	0	0.199394109432406	0	0
S14028	0.747932522584073	0	0.0598183736527354	0	0	0	0.192249103763191	0	0
S14030	0.736523099405086	0	0.0633399445040741	0	0	0	0.20013695609084	0	0
S14035	0.726512470896759	0	0.0738002131853605	0	0	0	0.19968731591788	0	0
S14037	0.733459532655513	0	0.062991542341448	0	0	0	0.203548925003039	0	0
S14038	0.740753679853835	0	0.0534125747239893	0	0	0	0.205833745422175	0	0
S14049	0.747243419792359	0	0.0648837917162688	0	0	0	0.187872788491373	0	0
S14051	0.738167056705386	0	0.0555828948821474	0	0	0	0.206250048412466	0	0
S14056	0.719347612680916	0	0.0799990109029126	0	0	0	0.200653376416171	0	0
S14070	0.737995332395674	0	0.0637988319227548	0	0	0	0.198205835681571	0	0
S1408	0.732683883228176	0	0.0663639608531013	0	0	0	0.200952155918722	0	0
S14089	0.725442511669187	0	0.0760901250284037	0	0	0	0.198467363302409	0	0
S14090	0.728242839107175	0	0.0713865750337507	0	0	0	0.200370585859074	0	0
S14121	0.736750615590232	0	0.0564443941815369	0	0	0	0.206804990228232	0	0
S14122	0.718879351354146	0	0.0837699860875191	0	0	0	0.197350662558335	0	0
S14129	0.731110334036849	0	0.0607624763332118	0	0	0	0.20812718962994	0	0
S14133	0.731291156585786	0	0.0600620488974084	0	0	0	0.208646794516806	0	0
S14138	0.726181009580027	0	0.0751444861709355	0	0	0	0.198674504249037	0	0
S14141	0.723318048139822	0	0.0769502063681859	0	0	0	0.199731745491992	0	0
S14151	0.728478451761553	0	0.0669316686717153	0	0	0	0.204589879566732	0	0
S14154	0.71401223815863	0	0.0853506604607197	0	0	0	0.20063710138065	0	0
S14157	0.723155213640776	0	0.075818574181568	0	0	0	0.201026212177656	0	0
S14161	0.721610558432457	0	0.0756636979847644	0	0	0	0.202725743582779	0	0
S14167	0.720570415210516	0	0.0707425234152221	0	0	0	0.208687061374262	0	0
S14185	0.737458139459888	0	0.0625729338176256	0	0	0	0.199968926722486	0	0
S1419	0.740143193911901	0	0.0576187178754969	0	0	0	0.202238088212602	0	0
S14193	0.730639904440727	0	0.0696616342001323	0	0	0	0.199698461359141	0	0
S14197	0.737814259882635	0	0.0577334397020599	0	0	0	0.204452300415305	0	0
S142	0.74915675777167	0	0.0542733871213612	0	0	0	0.196569855106969	0	0
S14206	0.725163645887344	0	0.0823415654980758	0	0	0	0.19249478861458	0	0
S14215	0.728322207360804	0	0.0782966123269571	0	0	0	0.193381180312239	0	0
S14220	0.73543596763701	0	0.0534245455698802	0	0	0	0.211139486793109	0	0
S14222	0.728609481035251	0	0.0695071717332573	0	0	0	0.201883347231491	0	0
S14225	0.727424018136416	0	0.0755491879373783	0	0	0	0.197026793926206	0	0
S1423	0.73452638809523	0	0.065261203819287	0	0	0	0.200212408085483	0	0
S14233	0.742803190302693	0	0.0586748558844881	0	0	0	0.198521953812819	0	0
S14251	0.72173753328929	0	0.0730365220707399	0	0	0	0.20522594463997	0	0
S14260	0.718780832577076	0	0.0766312390663369	0	0	0	0.204587928356587	0	0
S14266	0.732455689541168	0	0.0689609398418484	0	0	0	0.198583370616983	0	0
S14278	0.735370229240117	0	0.0659525954732054	0	0	0	0.198677175286678	0	0
S14280	0.72816041832732	0	0.0636076971193643	0	0	0	0.208231884553315	0	0
S14286	0.728317746579637	0	0.0818520977104272	0	0	0	0.189830155709936	0	0
S14287	0.720754495511863	0	0.0747258317424562	0	0	0	0.204519672745681	0	0
S14290	0.729290935759719	0	0.0715755933902329	0	0	0	0.199133470850048	0	0
S14297	0.727339426232572	0	0.0767869124655503	0	0	0	0.195873661301877	0	0
S14303	0.733189069134411	0	0.0688560733320766	0	0	0	0.197954857533512	0	0
S14305	0.733690207071714	0	0.065248276696745	0	0	0	0.201061516231541	0	0
S1432	0.729238436551542	0	0.0720228720460274	0	0	0	0.19873869140243	0	0
S14320	0.730923509168454	0	0.0666938395433647	0	0	0	0.202382651288181	0	0
S14332	0.744020735377252	0	0.0702238904115893	0	0	0	0.185755374211159	0	0
S14339	0.734065445717896	0	0.0639660151158824	0	0	0	0.201968539166221	0	0
S14340	0.711935699966651	0	0.0761725175742115	0	0	0	0.211891782459137	0	0
S14342	0.720240651190571	0	0.0792021163823522	0	0	0	0.200557232427077	0	0
S14346	0.747491311812611	0	0.0673644291010327	0	0	0	0.185144259086356	0	0
S14348	0.723796414959334	0	0.0749109432634555	0	0	0	0.20129264177721	0	0
S14354	0.7200600160686	0	0.0860737407949021	0	0	0	0.193866243136498	0	0
S14358	0.74490767957915	0	0.0621622467045019	0	0	0	0.192930073716348	0	0
S1436	0.736240820053413	0	0.0582839720842356	0	0	0	0.205475207862351	0	0
S1437	0.728308148593285	0	0.0701037347531993	0	0	0	0.201588116653515	0	0
S14372	0.735408572748415	0	0.0714207047975661	0	0	0	0.193170722454019	0	0
S14379	0.719208096579431	0	0.0781889870837139	0	0	0	0.202602916336855	0	0
S14381	0.729444815853178	0	0.0718137144548826	0	0	0	0.198741469691939	0	0
S14389	0.724301556743246	0	0.0815481722261628	0	0	0	0.194150271030592	0	0
S14392	0.733103038999674	0	0.0681412683374076	0	0	0	0.198755692662918	0	0
S14393	0.726715710127233	0	0.07136583343574	0	0	0	0.201918456437027	0	0
S14395	0.750309757487817	0	0.0543297379761517	0	0	0	0.195360504536031	0	0
S14397	0.723955741654081	0	0.07447670713894	0	0	0	0.201567551206979	0	0
S144	0.715892116265122	0	0.0779783480804971	0	0	0	0.206129535654381	0	0
S14402	0.718562773132752	0	0.0802823603710762	0	0	0	0.201154866496171	0	0
S14405	0.743412016224081	0	0.0543414274418416	0	0	0	0.202246556334077	0	0
S14409	0.733063625647917	0	0.0624487544717283	0	0	0	0.204487619880354	0	0
S1441	0.722991811790322	0	0.0743987356629718	0	0	0	0.202609452546706	0	0
S14414	0.728222047820593	0	0.0736781395187116	0	0	0	0.198099812660696	0	0
S14415	0.738315802500347	0	0.064215451997635	0	0	0	0.197468745502018	0	0
S14416	0.727716660090076	0	0.0751855034194447	0	0	0	0.197097836490479	0	0
S14417	0.721528482242399	0	0.0790449551951985	0	0	0	0.199426562562402	0	0
S14428	0.724556856852488	0	0.0710672637068933	0	0	0	0.204375879440618	0	0
S14432	0.733862328073129	0	0.0600063853522092	0	0	0	0.206131286574662	0	0
S14433	0.72464436289951	0	0.0680391560578556	0	0	0	0.207316481042634	0	0
S14434	0.719247652296449	0	0.0757516901895517	0	0	0	0.205000657514	0	0
S14437	0.718894428628013	0	0.0765364567940766	0	0	0	0.20456911457791	0	0
S14438	0.722963487043535	0	0.071038432870055	0	0	0	0.20599808008641	0	0
S14440	0.725082291176718	0	0.0669656263590322	0	0	0	0.20795208246425	0	0
S14462	0.733095349882859	0	0.0599298027971454	0	0	0	0.206974847319996	0	0
S14467	0.733137543192065	0	0.0725769538194413	0	0	0	0.194285502988493	0	0
S14469	0.715378771329942	0	0.0838460722138601	0	0	0	0.200775156456198	0	0
S14488	0.739018923536991	0	0.0656602654462218	0	0	0	0.195320811016787	0	0
S14492	0.732745489470432	0	0.0701649118138477	0	0	0	0.19708959871572	0	0
S14493	0.734398441179759	0	0.0706601724085088	0	0	0	0.194941386411732	0	0
S14495	0.720357084797072	0	0.0725628113536256	0	0	0	0.207080103849302	0	0
S14502	0.723933854445121	0	0.075866656886747	0	0	0	0.200199488668132	0	0
S14507	0.727286764700696	0	0.0604305519616147	0	0	0	0.212282683337689	0	0
S14513	0.718337525812735	0	0.0785832074572272	0	0	0	0.203079266730038	0	0
S14522	0.756722401832875	0	0.0565392955227749	0	0	0	0.18673830264435	0	0
S14532	0.74824929709729	0	0.0549002400367362	0	0	0	0.196850462865974	0	0
S14533	0.710652440485166	0	0.0778603641023091	0	0	0	0.211487195412525	0	0
S14534	0.745748521926235	0	0.051911383937521	0	0	0	0.202340094136244	0	0
S14538	0.728347438644243	0	0.0643473292581039	0	0	0	0.207305232097653	0	0
S1454	0.730904051537383	0	0.0730792085573192	0	0	0	0.196016739905297	0	0
S14549	0.74558030191937	0	0.0476221418286407	0	0	0	0.20679755625199	0	0
S14554	0.745899965958805	0	0.0551628406778749	0	0	0	0.19893719336332	0	0
S14562	0.735577808711363	0	0.0607093972951635	0	0	0	0.203712793993474	0	0
S14564	0.738607206485448	0	0.065279778822988	0	0	0	0.196113014691564	0	0
S1457	0.721643682746446	0	0.0668244130559214	0	0	0	0.211531904197633	0	0
S14570	0.729059278176998	0	0.0678800031045205	0	0	0	0.203060718718482	0	0
S14571	0.740846548489438	0	0.0649225737052586	0	0	0	0.194230877805304	0	0
S14579	0.733381963134465	0	0.0668454187755797	0	0	0	0.199772618089956	0	0
S1458	0.741590137763665	0	0.0613528696315241	0	0	0	0.197056992604811	0	0
S1459	0.736483069322897	0	0.0557068438713292	0	0	0	0.207810086805773	0	0
S14594	0.714622586286215	0	0.0862317133566696	0	0	0	0.199145700357115	0	0
S14595	0.730677806414341	0	0.0633236317190402	0	0	0	0.205998561866619	0	0
S14599	0.725643277754783	0	0.081683262753405	0	0	0	0.192673459491812	0	0
S14608	0.731306250993257	0	0.0727051634041353	0	0	0	0.195988585602607	0	0
S14614	0.737328958823546	0	0.0694730305806284	0	0	0	0.193198010595825	0	0
S14619	0.721496856748341	0	0.073289830167275	0	0	0	0.205213313084384	0	0
S14640	0.743838844809414	0	0.0606644424855697	0	0	0	0.195496712705016	0	0
S14641	0.718398649303393	0	0.079044726817229	0	0	0	0.202556623879378	0	0
