	B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
S13904	0	0.0142907413944975	0	0.259468155748545	0.384907657230449	0.341333445626508	0
S13920	0	0.00183708127934695	0.0265538348712821	0.244932741705317	0.382821218816117	0.343855123327937	0
S13925	0	0	0.0186874374959046	0.241659429615658	0.393629928852163	0.346023204036274	0
S13926	0	0.00610657465614238	0	0.256463895692643	0.380244700100901	0.357184829550314	0
S1393	0	0	0	0.249467597576449	0.375195164684251	0.3753372377393	0
S13936	0	0	0.0165558210814503	0.241907095415892	0.374386661675435	0.367150421827223	0
S13938	0	0	0.0143395270729117	0.238477981966744	0.393213846389157	0.353968644571188	0
S13948	0	0.000392164816477368	0.00863973800369629	0.261553882622644	0.373503219779446	0.355910994777737	0
S13952	0	0.0121422121163765	0.00534946543142611	0.256994702705782	0.361756645716848	0.363756974029568	0
S13955	0	0	0.0140922356304439	0.245953179312629	0.3807661864408	0.359188398616127	0
S13956	0	0	0.0327658304373575	0.243995321963989	0.39450091968055	0.328737927918103	0
S13959	0	0.0116182878612938	0	0.260936682966361	0.372866476527261	0.354578552645085	0
S13972	0	0	0.0185968267502492	0.255019741445238	0.380464882159154	0.345918549645359	0
S13980	0	0.00944446544289582	0.0354949276514987	0.23798097267662	0.403713803944651	0.313365830284335	0
S13982	0	0	0.0287550069717676	0.252952078487983	0.374324293577433	0.343968620962816	0
S13988	0	0	0	0.240315686624637	0.407108992600537	0.352575320774825	0
S14012	0	0.00744808050573156	0.0223820728508666	0.240783374553853	0.37915768189145	0.350228790198099	0
S14014	0	0.00907948942350343	0	0.264247205894718	0.382431294395669	0.34424201028611	0
S14022	0	0.0155533584080369	0	0.258374813188895	0.383360486694064	0.342711341709005	0
S14028	0	0	0.0432939060928215	0.222483685662287	0.380401180399774	0.353821227845117	0
S14030	0	0.00168265963371841	0.0261707239737413	0.253804004823064	0.386284424386356	0.33205818718312	0
S14035	0	0	0.00811556223332588	0.241586291592004	0.383406446831904	0.366891699342766	0
S14037	0	0	0.0204194943951325	0.25066309932797	0.386234094804754	0.342683311472144	0
S14038	0	0	0.00799037928422409	0.246162558182757	0.405078160853277	0.340768901679742	0
S14049	0	0	0.035502746678529	0.230294407826027	0.385103791546308	0.349099053949136	0
S14051	0	0	0.0132634143794387	0.258601159360215	0.396372198169027	0.331763228091318	0
S14056	0	0	0.000367192311123961	0.253484645587072	0.381259795592207	0.364888366509598	0
S14070	0	0.00496912723614851	0.024459373725194	0.253187425613186	0.381657645640209	0.335726427785262	0
S1408	0	0	0.00147568200084567	0.246786878918021	0.410051897713944	0.34168554136719	0
S14089	0	0.00874797923187525	0.00354510821983189	0.254927494194414	0.390198086646929	0.34258133170695	0
S14090	0	0.0187075809650358	0.00533063690169387	0.253803712911283	0.376493782806932	0.345664286415056	0
S14121	0	0.00116365803363199	0.00905209645581203	0.26255499425855	0.406181988929929	0.321047262322077	0
S14122	0	0	0.00549694679709664	0.247892036755768	0.378428626673678	0.368182389773457	0
S14129	0	0.00339918480379606	0.00668050947804032	0.264455533764511	0.387032385878099	0.338432386075553	0
S14133	0	0.0116478560512443	0	0.266332593396274	0.389179792418294	0.332839758134187	0
S14138	0	0	0	0.242421017921495	0.390733728616963	0.366845253461542	0
S14141	0	0	0.00375037350348787	0.250637800616088	0.392716207421068	0.352895618459357	0
S14151	0	0	0.00717652387748065	0.247231255637923	0.397517858711624	0.348074361772972	0
S14154	0	0	0	0.253148118575313	0.381321404525992	0.365530476898695	0
S14157	0	0.00476773020469101	0.00737294402783166	0.250302069124043	0.373531340132078	0.364025916511357	0
S14161	0	0	0.00261121399638375	0.253062031267698	0.39075989828863	0.353566856447288	0
S14167	0	0.00425390658864086	0.00182827412966089	0.26541187980558	0.381998932106651	0.346507007369468	0
S14185	0	0	0.00946801289079026	0.246415960595777	0.392777686865356	0.351338339648077	0
