	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S17973	0	0.999237496245873	0	0.000660134461159374	0.000102369292967886	0	0	0
S17985	0	0.999442201210372	0	0.000557798789628168	0	0	0	0
S17988	0	0.999830530267307	0	0	0.000169469732692633	0	0	0
S17993	0	0.9992354842536	0	0.000438156546602375	0.0003263591997972	0	0	0
S18000	0	0.999419766420837	0	0	0.000580233579163197	0	0	0
S18003	0	1	0	0	0	0	0	0
S18005	0	0.999957172937137	0	0	4.28270628627501e-05	0	0	0
S18007	0	0.997360517076426	0	0.00263948292357393	0	0	0	0
S18013	0	1	0	0	0	0	0	0
S18015	0	0.999438607966629	0	0	0.000561392033370609	0	0	0
S18016	0	1	0	0	0	0	0	0
S18028	0	0.998807468181862	0	0.000709150986098106	0.000483380832040274	0	0	0
S1803	0	0.999303256590632	0	0	0.000696743409368214	0	0	0
S18037	0	1	0	0	0	0	0	0
S18038	0	1	0	0	0	0	0	0
S18040	0	1	0	0	0	0	0	0
S18046	0	1	0	0	0	0	0	0
S18055	0	1	0	0	0	0	0	0
S18060	0	1	0	0	0	0	0	0
S18063	0	1	0	0	0	0	0	0
S18064	0	0.999288328899849	0	0	0.00071167110015135	0	0	0
S18067	0	0.999538373571732	0	0	0.000461626428268005	0	0	0
S18071	0	0.999965117891784	0	0	3.4882108216303e-05	0	0	0
S18079	0	1	0	0	0	0	0	0
S1808	0	0.999005911240405	0	0	0.000994088759594748	0	0	0
S18080	0	1	0	0	0	0	0	0
S18085	0	0.999284707499199	0	0	0.000715292500801222	0	0	0
S18089	0	1	0	0	0	0	0	0
S18103	0	1	0	0	0	0	0	0
S18107	0	1	0	0	0	0	0	0
S18117	0	1	0	0	0	0	0	0
S18127	0	0.999823582898012	0	0	0.000176417101987913	0	0	0
S18135	0	0.99589784615672	0	0.00410215384328034	0	0	0	0
S18139	0	1	0	0	0	0	0	0
S18142	0	1	0	0	0	0	0	0
S1815	0	1	0	0	0	0	0	0
S18152	0	0.999096417047401	0	0	0.000903582952599498	0	0	0
S18155	0	1	0	0	0	0	0	0
S1816	0	1	0	0	0	0	0	0
S18161	0	0.999833641868358	0	0	0.000166358131641722	0	0	0
S18173	0	0.998652123536933	0	0	0.00134787646306696	0	0	0
S18180	0	0.999815668636066	0	0.000184331363934378	0	0	0	0
S18182	0	1	0	0	0	0	0	0
S18189	0	0.999607964898571	0	0.00039203510142919	0	0	0	0
S18199	0	0.995766129995317	0	0.004233870004683	0	0	0	0
S18212	0	1	0	0	0	0	0	0
S18222	0	1	0	0	0	0	0	0
S18228	0	1	0	0	0	0	0	0
S18234	0	0.999854980473664	0	0	0.000145019526335741	0	0	0
S18244	0	0.997472844784364	0	0.00252715521563593	0	0	0	0
S18263	0	1	0	0	0	0	0	0
S18265	0	0.999398002387671	0	0.000601997612328821	0	0	0	0
S18270	0	0.999862132638114	0	0	0.000137867361886395	0	0	0
S18272	0	1	0	0	0	0	0	0
S18277	0	1	0	0	0	0	0	0
S18278	0	1	0	0	0	0	0	0
S18279	0	1	0	0	0	0	0	0
S18282	0	1	0	0	0	0	0	0
S183	0	0.999846596285664	0	0.000153403714336302	0	0	0	0
S18308	0	1	0	0	0	0	0	0
S18320	0	0.985832174088302	0	0.0141678259116984	0	0	0	0
S18321	0	0.999597048777288	0	0	0.000402951222712281	0	0	0
S18324	0	1	0	0	0	0	0	0
S18330	0	0.989942352621755	0	0.0100576473782451	0	0	0	0
S18334	0	1	0	0	0	0	0	0
S18337	0	1	0	0	0	0	0	0
S18339	0	0.999913634868856	0	0	8.63651311444588e-05	0	0	0
S18346	0	0.998913854897031	0	0.00108614510296894	0	0	0	0
S1835	0	1	0	0	0	0	0	0
S18352	0	1	0	0	0	0	0	0
S18358	0	0.998766737141651	0	0	0.00123326285834862	0	0	0
S18365	0	0.999860554552476	0	0.000139445447524407	0	0	0	0
S18368	0	0.999592835764164	0	0	0.00040716423583596	0	0	0
