	B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
S25781	0.08320249237529	0.0125719670874266	0.0371384764557095	0.0591902710622999	0	0.100720352918414	0	0.00265727765102625	0.0407715714945837	0.0856550305719035	0	0.0163800633842289	0.0819209262868879	0.0779650240088006	0	0.145493717956993	0.0671473875643626	0.0305509237262458	0	0.0478405791956366	0.0593877976332197	0.0514061406269711
S25783	0.080206616448321	0.0150014445549217	0.0446025791840595	0.0602737182546841	0	0.103814114402379	0	0.0223414805216506	0.0530261020776706	0.0823478314086273	0	0.01446101784224	0.0867083213651615	0.0782918873531632	0	0.142120055314206	0.0551304306693316	0.0133229019053801	0	0.0530237981600636	0.0517476980257328	0.0435800025124067
S25785	0.091337226265693	0.0126772203352098	0.0447857713475276	0.0545770605887194	0	0.101515574722381	0	0	0.0409846026821061	0.0917171852583889	0	0.0159403050574422	0.0919271462628297	0.0767770261409073	0	0.140605298330757	0.0659784378234769	0.0279373127453896	0	0.0492272231697781	0.0528495860905467	0.0411630231788475
S25792	0.090973112301014	0.0125315394593565	0.0421592647573754	0.0579663377353256	0	0.109378567941843	0	0	0.0390491175482469	0.0778115328741696	0	0.0172033978248632	0.0903425471700266	0.0771492581412161	0	0.143322996165441	0.0676675654325717	0.0367927566224831	0	0.0455393654042476	0.0581165914892609	0.0339960491325585
S25803	0.0822767470716484	0.0129281524156014	0.0386579299311175	0.0570730892588435	0	0.104023641555269	0	0.0110472395138844	0.052884679184355	0.0869949013959475	0	0.0139725955947481	0.0855557771107567	0.082032181684517	0	0.138896104962202	0.0642214584699993	0.0141157734979442	0	0.047593892231658	0.0566041574300544	0.0511216786914532
S25808	0.0746165533399217	0.0229828923334688	0.0438319219141292	0.0569888239903752	0	0.12096503611948	0	0	0.0391700042314997	0.0724922691623958	0.00144605167582503	0.0169235456711437	0.096182396115759	0.0815349311357717	0	0.137977487042342	0.0610084149711942	0.0327019291657978	0	0.0512001746615005	0.0529564931662237	0.0370210753031722
S25823	0.0920670391669744	0.0147804281972165	0.0468870957475323	0.0601953346851725	0	0.0985393546198617	0	0	0.0496967245630256	0.0981427673613067	0	0.0155477383388471	0.0889376650517305	0.0705263559285132	0	0.1427564488257	0.0586810820816523	0.0236341580517292	0	0.0463863974340155	0.0511002213227569	0.0421211886239655
S25824	0.0809299075968481	0.0191076318701909	0.0435544325079081	0.0504739250018837	0	0.106658644873642	0	0.00480127631930847	0.0598266944229876	0.0893703313430075	0	0.0150186621576988	0.0893814940593367	0.0738038379404036	0	0.140374804720424	0.0585142859416964	0.0286975965180751	0	0.0509537869161845	0.0561721230620566	0.0323605647483483
S25833	0.0895412942117007	0.0132786119294007	0.0422788503081883	0.0622571549942296	0	0.102382992697114	0	0.0081029585722771	0.0472689087141743	0.0874673608160764	0	0.0152530769177461	0.0872567934280552	0.0761408605940582	0	0.14117989788718	0.0632329219168298	0.0195624173327026	0	0.0516053107735589	0.0549968172481023	0.0381937716586054
S25835	0.0764538522230064	0.0180055885997591	0.0456960282622103	0.0604159554103141	0	0.103796755368888	0	0	0.0427552602288869	0.0917957263895607	0	0.0157751978458779	0.0880219418865232	0.0766694503404203	0	0.141075978923503	0.0633139366912187	0.0281339408393436	0	0.0526667545624989	0.0545694345652953	0.0408541978626936
S25845	0.0892608478522946	0.0143818720114294	0.0426843743599388	0.059902310356554	0	0.0979798893002906	0	0	0.048662899432156	0.0945879590788008	0	0.014920309594957	0.0861797774131747	0.0754431785834659	0	0.143454724168066	0.0671777967328205	0.0252505311015351	0	0.0522576983813027	0.0540272956151856	0.0338285360180281
S25847	0.0779068516728387	0.01848645082989	0.0405099233003645	0.0582692413738849	0	0.104740219971563	0	0.00796658802816043	0.0447491511118436	0.0863607159297413	0	0.0153234329524853	0.0896332141674712	0.0759543431497391	0	0.142414032031024	0.0647381535149746	0.0282042866334205	0	0.0489962710144545	0.0569259543215343	0.0388211699966095
S25848	0.0788823560251443	0.0150793385127918	0.0475797107952381	0.0610090485252499	0	0.10306502196722	0	0	0.0504046648268239	0.0881839400744674	0	0.0149358373624613	0.0898612874891765	0.078115434795913	0	0.140902685202657	0.0638351624395678	0.0277960563756311	0	0.0485997455889546	0.0524672632382716	0.0392824467804322
