	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
S581	0.0833305596456338	0.00753469357247591	0	0	0	0.0247530651977118	0	0	0	0.0798894835361141	0.189197111440251	0	0.0905832485929491	0.459565053352662	0.05307847497729	0	0	0	0.0120683096849127	0	0
S5815	0.0860015135758567	0	0	0	0	0.0186317405951168	0	0	0	0.108484393905114	0.199648980234471	0	0.0792650288420446	0.451945706350773	0.0560226364966238	0	0	0	0	0	0
S582	0.0856291854405358	0	0	0	0	0.0240550459881104	0	0	0	0.040261486048353	0.208631936448493	0	0.0727634777549459	0.484962953344156	0.0561090719849672	0	0	0.0101862562990321	0.0174005866914062	0	0
S5821	0.108761518902221	0	0	0	0	0.0144578975413558	0	0	0	0.113127762477554	0.185402663629982	0	0.0828207354054666	0.441251614423034	0.0541778076203875	0	0	0	0	0	0
S5822	0.068386944023958	0	0	0	0	0.0167756543554169	0	0	0	0.0559284563055826	0.189705195376842	0	0.0886621816452763	0.532191564176204	0.0477920422926147	0	0	0.000557961824105342	0	0	0
S5823	0.0736359893245129	0	0	0	0	0.0143344378158504	0	0	0	0.00607754769742156	0.203610901537454	0	0.0721286929453153	0.496558254570417	0.0430299761457787	0	0	0.0629481590464929	0.0276760409167575	0	0
S5827	0.115574654908932	0	0	0	0	0.0146001055611538	0	0	0	0.0760701742752122	0.208340339677382	0	0.0783542853332634	0.426365655939978	0.0510587113122623	0	0	0.00328705413437462	0.0263490188574417	0	0
S5833	0.109748266968045	0	0	0	0	0.0124634435685091	0	0	0	0.108098836731495	0.180261423572703	0	0.0774979523987653	0.454071864633784	0.0578582121266983	0	0	0	0	0	0
S5844	0.0782470475012656	0.010006331749675	0	0	0	0.0181521899067127	0	0	0	0.156167838537409	0.155801677619893	0	0.0832495740857821	0.442540140393777	0.0558352002054853	0	0	0	0	0	0
S5846	0.116053322035017	0.000180507128662226	0	0	0	0.0135511460628438	0	0	0	0.122511617507873	0.192443340423776	0	0.0871879393808812	0.409508755539281	0.0585633719216653	0	0	0	0	0	0
S5852	0.110459974331349	0	0	0	0	0.011903281834991	0	0	0	0.106961596394267	0.15798377280364	0	0.0838392298173617	0.433843640396765	0.0560862160937917	0.00138284098914616	0	0.0375394473386881	0	0	0
S5853	0.0909935873945895	0	0	0	0	0.0136869282521626	0	0	0	0.105665058557131	0.183596999864922	0	0.0927644646229468	0.460173481151518	0.0531194801567301	0	0	0	0	0	0
S5863	0.109593136674196	0	0	0	0	0.0157329599346905	0	0	0	0.0700869501840879	0.205344104011062	0	0.0839072521354893	0.451634021099614	0.0517996524864344	0	0	0	0.0119019234744253	0	0
S5877	0.123139481299905	0	0	0	0	0.0137420077129375	0	0	0	0.0874192319653819	0.179818857469338	0	0.0660311265355549	0.452595341152533	0.0507091112430481	0	0	0.0265448426213025	0	0	0
S5881	0.0972701892339726	0	0	0	0	0.0173271666328944	0	0	0	0.0569862757830699	0.247112536218603	0	0.0725496417896495	0.443851244884851	0.047399942993295	0	0	0	0.0175030024636648	0	0
S5883	0.0843750488495003	0	0	0	0	0.0162850769499759	0	0	0	0.0514301991244388	0.204327023781668	0	0.0773098689108562	0.476391598618363	0.0448740513102521	0	0	0.0298663613681827	0.0151407710867622	0	0
S5884	0.0887963074233586	0	0	0	0	0.0196042399528484	0	0	0	0.0940646392509591	0.186866539463266	0	0.0693304561753005	0.469401528739109	0.0522623869262742	0	0	0.012531883919837	0.00714201814904725	0	0
S5889	0.116736122156576	0	0	0	0	0.0176491721580748	0	0	0	0.0655030966110838	0.192870193849131	0	0.0683576819401132	0.447580447286859	0.0482056322618618	0	0	0.02886456192076	0.0142330918155412	0	0
S589	0.0655453916219273	0.00345887798641709	0	0	0	0.0238482307752521	0	0	0	0.116736578003952	0.18604613583045	0	0.0907953349956374	0.452751286084059	0.0562206747943811	0	0	0	0.00459748990792483	0	0
S5903	0.0718628995981663	0.00724244046864315	0	0	0	0.0136164996200412	0	0	0	0.107834946615198	0.203006629220651	0	0.0975244916124407	0.426336170507069	0.0493162710215284	0	0	0	0.0232596513362615	0	0
S5905	0.0973341865787697	0	0	0	0	0.00985915578228974	0	0	0	0.0690314432123832	0.199709682357663	0	0.0800540081918925	0.47309488678373	0.0456803463068168	0	0	0.0161284669056772	0.00910782388077808	0	0
S5910	0.0841124874940158	0	0	0	0	0.0169030571354083	0	0	0	0.0719401031842507	0.207933808736669	0	0.10985932945984	0.446206437684712	0.0539408429954177	0	0	0	0.00910393330968671	0	0
S5911	0.0834982707974259	0.0233352185459389	0	0	0	0.0184242740182693	0	0	0	0.106514129546077	0.199237007204119	0	0.0984918328010504	0.414639391334366	0.0558598757527532	0	0	0	0	0	0
S5922	0.0569822280107726	0	0	0	0	0.0233188369810168	0	0	0	0.0953045386718744	0.228368363547972	0	0.093640149314795	0.450160611854544	0.0522252716190257	0	0	0	0	0	0
S5923	0.0990528689317328	0.00663125854599557	0	0	0	0.0154547744201946	0	0	0	0.129069105910743	0.160618378928703	0	0.0966084414511619	0.432793927379787	0.0595238853720749	0	0	0	0.000247359059606347	0	0
S5925	0.0718999149744931	0	0	0	0	0.014282951615627	0	0	0	0.0616036773456064	0.223570671479647	0	0.0697874067515297	0.507573334851738	0.0512820429813591	0	0	0	0	0	0
S5929	0.0930262488215215	0	0	0	0	0.0154207559666134	0	0	0	0.0295455216370194	0.191390428342125	0	0.0556048125403491	0.480839093863019	0.0437705902692687	0	0	0.0792376672718367	0.011164881288248	0	0
S5931	0.0981297513414292	0	0	0	0	0.0138931514962624	0	0	0	0.09739544127714	0.187411096534693	0	0.0922961186228185	0.439384445054649	0.0500072568652072	0	0	0.0103030554015508	0.01117968340625	0	0
S5938	0.086713356765274	0.00181072446374088	0	0	0	0.0195202475561009	0	0	0	0.101057606591508	0.17670703203826	0	0.0846641840598293	0.475214481327203	0.0543123671980839	0	0	0	0	0	0
S5955	0.0540830450453958	0.0394095521691875	0	0	0	0.023604358551142	0	0	0	0.0988895892991139	0.217229942578454	0	0.104908003253051	0.406553543423591	0.0553219656800645	0	0	0	0	0	0
S5960	0.0725662749087335	0	0	0	0	0.0152374319456955	0	0	0	0.096999041679551	0.185939075028408	0	0.0963847053604223	0.448245761569072	0.0507502429082944	0	0	0.0248237838749748	0.00905368272484868	0	0
S5961	0.103731616057095	0	0	0	0	0.00912860927788717	0	0	0	0.0929373560048112	0.218692492242359	0	0.0788809975218335	0.437727888313224	0.0556065180934792	0	0	0	0.00329452248931115	0	0
S5967	0.107951591662264	0	0	0	0	0.00996423023843226	0	0	0	0.0870884385995365	0.222681761899037	0	0.083803214626156	0.436895770936924	0.0516149920376497	0	0	0	0	0	0
S5969	0.0600793787054643	0.0112849636768539	0	0	0	0.0292344931105303	0	0	0	0.0914971917872325	0.182276099890131	0	0.096182846873116	0.470444501196469	0.0517362567343755	0	0	0	0.00726426802582771	0	0
S5978	0.197877868314716	0	0	0	0	0.0122570483936554	0	0	0	0.0423378034563583	0.174115040602779	0	0.0517338860032871	0.45932965251513	0.0418665464702782	0	0	0.0100694067947631	0.0104127474490324	0	0
S5986	0.0984298264935295	0	0	0	0	0.0139825442515537	0	0	0	0.0612492036973563	0.199067305251497	0	0.0867151969777938	0.451596086253514	0.0466533605947686	0	0	0.0187685056209472	0.0235379708590402	0	0
S5987	0.101930060341891	0	0	0	0	0.0113726092685771	0	0	0	0.0851687677882226	0.191316742795508	0	0.0710848193325219	0.482409366110775	0.0468003040313467	0	0	0.00991733033115788	0	0	0
S5988	0.118708037221624	0	0	0	0	0.0144408895446068	0	0	0	0.149068003466633	0.189122871222272	0	0.0648934466393651	0.401616092228333	0.0557452512025693	0	0	0	0.00640540847459703	0	0
S599	0.0928340104864006	0.0129551676090134	0	0	0	0.0224547994123402	0	0	0	0.0877386002580414	0.155809786440777	0	0.0829132644595009	0.445755895028363	0.046043797215021	0	0	0.0359961806610082	0.0174984984295337	0	0
S5990	0.0802987600059332	0	0	0	0	0.01888132862449	0	0	0	0.0523780644716274	0.247183006165617	0	0.0691492940307566	0.473514077269872	0.0463094990257504	0	0	0	0.0122859704059534	0	0
S5997	0.0807496058040697	0	0	0	0	0.0111616180039433	0	0	0	0.0811506756489012	0.224676749592771	0	0.0945868692431923	0.451373446586415	0.0498149671033893	0	0	0	0.00648606801731833	0	0
S6001	0.0921653160116115	0	0	0	0	0.00825373997557092	0	0	0	0.0929222861933369	0.23710189733513	0	0.0793964488458076	0.440687382305941	0.0494729293326018	0	0	0	0	0	0
S6011	0.0968059517959663	0	0	0	0	0.0147666262326099	0	0	0	0.0806533881539354	0.162835595336684	0	0.0874918650910931	0.483141922180743	0.047195644253985	0	0	0.0145034604820347	0.0126055464729487	0	0
S6014	0.100983025767168	0	0	0	0	0.0151776997073638	0	0	0	0.0417761786664498	0.181980688747413	0	0.069093816926063	0.501317214146235	0.0447473987206631	0	0	0.0386531498043705	0.0062708275142743	0	0
S6019	0.0929506797370371	0	0	0	0	0.00885387114042327	0	0	0	0.0667676593968182	0.184094652357996	0	0.0633767420551461	0.488529959310713	0.0440706363296139	0	0	0.0491120422404618	0.00224375743179069	0	0
S6021	0.0842313294835688	0	0	0	0	0.02144042516473	0	0	0	0.0399835639498995	0.223754946167481	0	0.0799248069196344	0.476116881805708	0.0514860098592056	0	0	0.00267135398749597	0.0203906826622765	0	0
S6022	0.0995731089638281	0	0	0	0	0.0176759722613471	0	0	0	0.0947463255577446	0.179786341427037	0	0.0902625274883813	0.449230119702614	0.0558800198960759	0	0	0.0105602957484378	0.00228528895453436	0	0
S6028	0.115858974415105	0	0	0	0	0.0101436786050629	0	0	0	0.0847580321406345	0.20735426293516	0	0.0763939092356592	0.43971745681805	0.0499886937097873	0	0	0.0139239301876093	0.00186106195293225	0	0
S603	0.0999079775568144	0	0	0	0	0.0169475832159391	0	0	0	0.0710683318296167	0.175584318819167	0	0.0878607998341655	0.495238956195784	0.0509543440082544	0	0	0.00243768854025907	0	0	0
