	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
mix_1	0	0	0.0129	0.0142	0	0.0131	0	0	0	0.0356	0.005	0.0362	0.0039	0	0	0	0.0013	3.00E-04	1.00E-04	0.0032	0	0	0	0.0404	0.0016	0	0	0	0	0.0294	0.0035	0.0138	0.0064	0	0	0.0122	0.013	0	0.1028	0	0.0398	0	0	0.0079	0	0.0055	0.0018	0	0	0	0	0.0028	0.0028	0.001	0.0031	0	0	0.0369	0.0807	0	0	0.0071	0.0058	0.0031	0.1373	0	0.1374
mix_2	0	0	0	0	0.0014	0.0106	0	0	0	0.0231	0.0034	0.0129	0.0043	0	0	0	0	0.0014	0	0.011	0	0	0	0.0547	0.0031	0	0	0	0	0.0393	0.0095	0.0208	0.0103	0	0	0.016	6.00E-04	0	0.1294	0	0.0097	0	0	0.0106	0	0.0022	6.00E-04	6.00E-04	0	0	0	0.007	8.00E-04	0	0	0	0	0.0513	0.1148	0	0	4.00E-04	0.0027	0	0.1307	0	0.1307
mix_3	0	0	0.1544	0	0.0538	0.1043	0	0.0276	0.0339	0.0749	0.0188	0.0327	0.0112	0	0	0	0.024	0	0	0	0	0	0	0.0048	0.0525	0	2.00E-04	0.0345	0	0.0576	0	0.0016	5.00E-04	0	0	0.0018	0.1004	0	0.0113	0	0.0169	0	0.0013	0	0	0	0.0162	0	0	0	0	0	2.00E-04	0	0.0185	0	0	0.0121	0.0284	0	0	0.0421	7.00E-04	0.0288	0.2075	0	0.2075
mix_4	0	0	0.1889	0	0.0225	0.0535	0	0.0111	0.0034	0.0508	0.0093	0.0304	0.0077	0	0	0	0.0388	0	0	0	0	0	0	0.0235	0.0381	0	1.00E-04	0.0158	0	0.0567	0	0.0039	0.0029	0	0	0.0053	0.1244	0	0.045	0	0.0198	0	0.001	7.00E-04	0	0	0.0163	0	0	0	0	0	0	0	0.0123	0	0	0.021	0.0931	0	0	0.0506	0.0121	0.0401	0.2185	0	0.2185
mix_5	0	0	0.1402	0	0.0111	0.0417	0	0	0	0.0814	0.0253	0.0483	0.011	0	0	0	0.0213	0	0	0	0	0	0	0.0093	0.0083	0	1.00E-04	0.0253	0.002	0.039	0	0.004	0.0019	0	0	0.0039	0.0927	0	0.0375	0	0.0477	0	7.00E-04	8.00E-04	0	0	0.0141	0	0	0	0	0.0042	0.0023	6.00E-04	0.0113	0	0	0.0153	0.072	0	0	0.0392	0.0075	0.034	0.2125	0	0.2125
mix_6	0	0	0.102	0	0.0101	0.0332	0	0	0	0.0561	0.0114	0.0265	0.0078	0	0	0	0.0144	0	0	8.00E-04	0	0	0	0.0371	0.0544	0	2.00E-04	0.0081	0	0.06	0	0.0089	0.003	0	0	0.0089	0.0762	0	0.069	0	0.0177	0	5.00E-04	0.0039	0	0	0.0101	0	0	0	0	0	0	0	0.0054	0	0	0.0249	0.1153	0	0	0.031	0.006	0.0205	0.1731	0	0.1731
mix_7	0	0	0.2525	0	0.0197	0.0579	0	0.0107	6.00E-04	0.0589	0.0099	0.0411	0.0073	0	0	0	0.0491	0	0	0	0	0	0	0.0107	0.0391	0	2.00E-04	0.0206	2.00E-04	0.0776	0	0.0017	0.0027	0	0	0.0026	0.1555	0	0.0201	0	0.0315	0	0.0015	0	0	0	0.0252	0	0	0	0	0	0	0	0.0229	0	0	0.0246	0.0782	0	0	0.0664	0.012	0.0535	0.2551	0	0.2551
mix_8	0	0	0.2138	0	0.0143	0.0359	0	0.0064	0	0	0	0	0	0	0	0	0.0469	0	0	0	0	0	0	0.0429	0.0101	0	2.00E-04	0.0013	0.0013	0.0909	0	0.0097	0.0075	0	0	0.011	0.1404	0	0.086	0	0	0	6.00E-04	0.0052	0	0	0.0137	0	0	0	0	0	0	0	0	0	0	0.0463	0.1601	0	0	0.0569	0	0.0466	0.2129	0	0.2129
mix_9	0	0	0.0313	0.0103	0.0124	0.0431	0	0.0042	2.00E-04	0.0524	0.0093	0.0442	0.0051	0	0	0	0.0025	1.00E-04	7.00E-04	7.00E-04	0	0	0	0.0307	0.0052	0	0	0.0059	0	0.0214	0.003	0.0107	0.0046	0	0	0.0086	0.0281	0	0.0783	8.00E-04	0.0488	0	1.00E-04	0.0054	0	0	0.0039	0	0	0	0	0.0069	0.005	0.0014	0.0095	0	0	0.0285	0.0699	1.00E-04	0	0.01	0.0037	0.0075	0.1549	4.00E-04	0.1553
mix_10	0	0	0.2953	0	0.0218	0.0465	0	0.0056	0	0.0364	0.0045	0	0.0105	0	0	0	0.0712	0	0	0	0	0	0	0.0144	0.0067	0	1.00E-04	0.0176	0.0023	0.0906	0	0.0041	0.0035	0	0	0.0053	0.1794	0	0.033	0	0	0	0.0016	0	0	0	0.0258	0	0	1.00E-04	0	0	0	0	0.0103	0	0	0.031	0.0916	0	0	0.0735	0	0.0627	0.2577	0	0.2577
